		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	LABELS	control_natal_woman	control_natal_both	cleanhouse_woman	women_workdouble	women_work	decision_own	everyb_works	free_housework	independent	relation_people	import_work	women_politics_left	women_politics_none	union	lack_preparation	kids
																	
post_sum1	Female pop X Treat	0.155***	-0.011	-0.052	-0.008	-0.012	0.143*	0.089	0.313*	0.183	0.281	-0.041	0.161	-0.036	0.042	0.130	0.010
		(0.045)	(0.054)	(0.056)	(0.030)	(0.063)	(0.076)	(0.233)	(0.163)	(0.165)	(0.216)	(0.026)	(0.144)	(0.058)	(0.039)	(0.085)	(0.020)
post_sum21	Male pop X Treat	-0.070	-0.022	0.112*	0.004	-0.068	-0.089	0.070	-0.008	-0.345**	0.050	0.044	-0.032	-0.013	-0.044	-0.057	0.025
		(0.046)	(0.057)	(0.058)	(0.032)	(0.063)	(0.077)	(0.256)	(0.103)	(0.168)	(0.232)	(0.027)	(0.137)	(0.058)	(0.039)	(0.093)	(0.019)
																	
Observations		562	2,004	2,126	2,026	1,111	714	301	297	305	301	2,080	556	2,077	1,714	715	7,047
R-squared		0.277	0.169	0.263	0.106	0.264	0.289	0.446	0.329	0.430	0.389	0.140	0.316	0.138	0.200	0.274	0.385
Mun. FE		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Cohort		YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES	YES
Mean of depvar		0.936	0.709	0.526	0.896	0.330	0.476	0.564	0.354	0.725	0.674	0.927	0.827	0.273	0.248	0.411	0.728
