ámbitoterritorial,sexo,relaciónconlaactividadeconómic,total
Total Nacional,Ambos sexos,Total,27332882
Total Nacional,Ambos sexos,Económicamente activa (Total),12797025
Total Nacional,Ambos sexos,Económicamente activa (Ocupados),10724581
Total Nacional,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),801937
Total Nacional,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),1270507
Total Nacional,Ambos sexos,Económicamente inactiva,14243863
Total Nacional,Ambos sexos,Contada aparte (Cumple el servicio militar),291994
Total Nacional,Varones,Total,13168181
Total Nacional,Varones,Económicamente activa (Total),9628895
Total Nacional,Varones,Económicamente activa (Ocupados),8214538
Total Nacional,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),412825
Total Nacional,Varones,Económicamente activa (Parados quehan trabajado anteriormente),1001532
Total Nacional,Varones,Económicamente inactiva,3247292
Total Nacional,Varones,Contada aparte (Cumple el servicio militar),291994
Total Nacional,Mujeres,Total,14164701
Total Nacional,Mujeres,Económicamente activa (Total),3168130
Total Nacional,Mujeres,Económicamente activa (Ocupados),2510043
Total Nacional,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),389112
Total Nacional,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),268975
Total Nacional,Mujeres,Económicamente inactiva,10996571
Total Nacional,Mujeres,Contada aparte (Cumple el servicio militar),
Distribución por municipios,Ambos sexos,Total,
Distribución por municipios,Ambos sexos,Económicamente activa (Total),
Distribución por municipios,Ambos sexos,Económicamente activa (Ocupados),
Distribución por municipios,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por municipios,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por municipios,Ambos sexos,Económicamente inactiva,
Distribución por municipios,Ambos sexos,Contada aparte (Cumple el servicio militar),
Distribución por municipios,Varones,Total,
Distribución por municipios,Varones,Económicamente activa (Total),
Distribución por municipios,Varones,Económicamente activa (Ocupados),
Distribución por municipios,Varones,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por municipios,Varones,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por municipios,Varones,Económicamente inactiva,
Distribución por municipios,Varones,Contada aparte (Cumple el servicio militar),
Distribución por municipios,Mujeres,Total,
Distribución por municipios,Mujeres,Económicamente activa (Total),
Distribución por municipios,Mujeres,Económicamente activa (Ocupados),
Distribución por municipios,Mujeres,Económicamente activa (Parados que buscan empleo por 1ª vez),
Distribución por municipios,Mujeres,Económicamente activa (Parados quehan trabajado anteriormente),
Distribución por municipios,Mujeres,Económicamente inactiva,
Distribución por municipios,Mujeres,Contada aparte (Cumple el servicio militar),
Municipios de más de 1.000.000 hab.,Ambos sexos,Total,3719633
Municipios de más de 1.000.000 hab.,Ambos sexos,Económicamente activa (Total),1835071
Municipios de más de 1.000.000 hab.,Ambos sexos,Económicamente activa (Ocupados),1538484
Municipios de más de 1.000.000 hab.,Ambos sexos,Económicamente activa (Parados que buscan empleo por 1ª vez),121991
Municipios de más de 1.000.000 hab.,Ambos sexos,Económicamente activa (Parados quehan trabajado anteriormente),174596
Municipios de más de 1.000.000 hab.,Ambos sexos,Económicamente inactiva,1842766
Municipios de más de 1.000.000 hab.,Ambos sexos,Contada aparte (Cumple el servicio militar),41795
Municipios de más de 1.000.000 hab.,Varones,Total,1713218
