ámbitoterritorial,tasadeactividad,sexo,total
Total Nacional,Total,Ambos sexos,27332882
Total Nacional,Total,Varones,13168181
Total Nacional,Total,Mujeres,14164701
Total Nacional,Activos,Ambos sexos,12797025
Total Nacional,Activos,Varones,9628896
Total Nacional,Activos,Mujeres,3168130
Total Nacional,Tasa de actividad,Ambos sexos,46.82
Total Nacional,Tasa de actividad,Varones,73.12
Total Nacional,Tasa de actividad,Mujeres,22.37
Distribución por municipios,Total,Ambos sexos,
Distribución por municipios,Total,Varones,
Distribución por municipios,Total,Mujeres,
Distribución por municipios,Activos,Ambos sexos,
Distribución por municipios,Activos,Varones,
Distribución por municipios,Activos,Mujeres,
Distribución por municipios,Tasa de actividad,Ambos sexos,
Distribución por municipios,Tasa de actividad,Varones,
Distribución por municipios,Tasa de actividad,Mujeres,
Municipios de más de 1.000.000 hab.,Total,Ambos sexos,3719633
Municipios de más de 1.000.000 hab.,Total,Varones,1713218
Municipios de más de 1.000.000 hab.,Total,Mujeres,2006415
Municipios de más de 1.000.000 hab.,Activos,Ambos sexos,1835071
Municipios de más de 1.000.000 hab.,Activos,Varones,1252938
Municipios de más de 1.000.000 hab.,Activos,Mujeres,582133
Municipios de más de 1.000.000 hab.,Tasa de actividad,Ambos sexos,49.33
Municipios de más de 1.000.000 hab.,Tasa de actividad,Varones,73.13
Municipios de más de 1.000.000 hab.,Tasa de actividad,Mujeres,29.01
Municipios de 500.001 a 1.000.000 hab.,Total,Ambos sexos,1766824
Municipios de 500.001 a 1.000.000 hab.,Total,Varones,825017
Municipios de 500.001 a 1.000.000 hab.,Total,Mujeres,941807
Municipios de 500.001 a 1.000.000 hab.,Activos,Ambos sexos,829959
Municipios de 500.001 a 1.000.000 hab.,Activos,Varones,600402
Municipios de 500.001 a 1.000.000 hab.,Activos,Mujeres,229557
Municipios de 500.001 a 1.000.000 hab.,Tasa de actividad,Ambos sexos,46.97
Municipios de 500.001 a 1.000.000 hab.,Tasa de actividad,Varones,72.77
Municipios de 500.001 a 1.000.000 hab.,Tasa de actividad,Mujeres,24.37
Municipios de 100.001 a 500.000 hab.,Total,Ambos sexos,5823792
Municipios de 100.001 a 500.000 hab.,Total,Varones,2772511
Municipios de 100.001 a 500.000 hab.,Total,Mujeres,3051281
Municipios de 100.001 a 500.000 hab.,Activos,Ambos sexos,2813785
Municipios de 100.001 a 500.000 hab.,Activos,Varones,2071320
Municipios de 100.001 a 500.000 hab.,Activos,Mujeres,742464
Municipios de 100.001 a 500.000 hab.,Tasa de actividad,Ambos sexos,48.32
Municipios de 100.001 a 500.000 hab.,Tasa de actividad,Varones,74.70999999999999
Municipios de 100.001 a 500.000 hab.,Tasa de actividad,Mujeres,24.33
Municipios de 50.001 a 100.000 hab.,Total,Ambos sexos,2449663
Municipios de 50.001 a 100.000 hab.,Total,Varones,1175169
Municipios de 50.001 a 100.000 hab.,Total,Mujeres,1274493
Municipios de 50.001 a 100.000 hab.,Activos,Ambos sexos,1166914
Municipios de 50.001 a 100.000 hab.,Activos,Varones,881810
Municipios de 50.001 a 100.000 hab.,Activos,Mujeres,285104
Municipios de 50.001 a 100.000 hab.,Tasa de actividad,Ambos sexos,47.64
Municipios de 50.001 a 100.000 hab.,Tasa de actividad,Varones,75.04000000000001
