ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Total,Total nacional (Ambos sexos),Total,10724581
Total,Total nacional (Ambos sexos),De 16 a 19 años,614308
Total,Total nacional (Ambos sexos),De 20 a 24 años,1240554
Total,Total nacional (Ambos sexos),De 25 a 29 años,1412712
Total,Total nacional (Ambos sexos),De 30 a 34 años,1355930
Total,Total nacional (Ambos sexos),De 35 a 39 años,1208753
Total,Total nacional (Ambos sexos),De 40 a 44 años,1064437
Total,Total nacional (Ambos sexos),De 45 a 49 años,1196776
Total,Total nacional (Ambos sexos),De 50 a 54 años,1091298
Total,Total nacional (Ambos sexos),De 55 a 59 años,892190
Total,Total nacional (Ambos sexos),De 60 a 64 años,491163
Total,Total nacional (Ambos sexos),De 65 a 69 años,102172
Total,Total nacional (Ambos sexos),De 70 a 74 años,30661
Total,Total nacional (Ambos sexos),De 75 y más años,23627
Total,Total nacional (Varones),Total,8214538
Total,Total nacional (Varones),De 16 a 19 años,381454
Total,Total nacional (Varones),De 20 a 24 años,733249
Total,Total nacional (Varones),De 25 a 29 años,1022259
Total,Total nacional (Varones),De 30 a 34 años,1074652
Total,Total nacional (Varones),De 35 a 39 años,997234
Total,Total nacional (Varones),De 40 a 44 años,887249
Total,Total nacional (Varones),De 45 a 49 años,995909
Total,Total nacional (Varones),De 50 a 54 años,899559
Total,Total nacional (Varones),De 55 a 59 años,727595
Total,Total nacional (Varones),De 60 a 64 años,387940
Total,Total nacional (Varones),De 65 a 69 años,71861
Total,Total nacional (Varones),De 70 a 74 años,20528
Total,Total nacional (Varones),De 75 y más años,15049
Total,Total nacional (Mujeres),Total,2510043
Total,Total nacional (Mujeres),De 16 a 19 años,232854
Total,Total nacional (Mujeres),De 20 a 24 años,507305
Total,Total nacional (Mujeres),De 25 a 29 años,390454
Total,Total nacional (Mujeres),De 30 a 34 años,281278
Total,Total nacional (Mujeres),De 35 a 39 años,211519
Total,Total nacional (Mujeres),De 40 a 44 años,177188
Total,Total nacional (Mujeres),De 45 a 49 años,200867
Total,Total nacional (Mujeres),De 50 a 54 años,191739
Total,Total nacional (Mujeres),De 55 a 59 años,164595
Total,Total nacional (Mujeres),De 60 a 64 años,103222
Total,Total nacional (Mujeres),De 65 a 69 años,30311
Total,Total nacional (Mujeres),De 70 a 74 años,10133
Total,Total nacional (Mujeres),De 75 y más años,8578
Total,Zona Rural,Total,2273139
Total,Zona Rural,De 16 a 19 años,165611
Total,Zona Rural,De 20 a 24 años,256624
Total,Zona Rural,De 25 a 29 años,253983
Total,Zona Rural,De 30 a 34 años,229465
Total,Zona Rural,De 35 a 39 años,216439
Total,Zona Rural,De 40 a 44 años,207512
Total,Zona Rural,De 45 a 49 años,266363
Total,Zona Rural,De 50 a 54 años,262208
Total,Zona Rural,De 55 a 59 años,226340
Total,Zona Rural,De 60 a 64 años,141336
Total,Zona Rural,De 65 a 69 años,28459
Total,Zona Rural,De 70 a 74 años,10995
Total,Zona Rural,De 75 y más años,7805
Total,Zona Intermedia,Total,1737169
Total,Zona Intermedia,De 16 a 19 años,129492
Total,Zona Intermedia,De 20 a 24 años,214950
Total,Zona Intermedia,De 25 a 29 años,226037
Total,Zona Intermedia,De 30 a 34 años,209849
Total,Zona Intermedia,De 35 a 39 años,186178
Total,Zona Intermedia,De 40 a 44 años,169107
Total,Zona Intermedia,De 45 a 49 años,194340
Total,Zona Intermedia,De 50 a 54 años,173709
Total,Zona Intermedia,De 55 a 59 años,139634
Total,Zona Intermedia,De 60 a 64 años,73547
Total,Zona Intermedia,De 65 a 69 años,12890
Total,Zona Intermedia,De 70 a 74 años,4003
Total,Zona Intermedia,De 75 y más años,3431
Total,Zona Urbana,Total,6714273
Total,Zona Urbana,De 16 a 19 años,319205
Total,Zona Urbana,De 20 a 24 años,768979
Total,Zona Urbana,De 25 a 29 años,932692
Total,Zona Urbana,De 30 a 34 años,916615
Total,Zona Urbana,De 35 a 39 años,806137
Total,Zona Urbana,De 40 a 44 años,687819
Total,Zona Urbana,De 45 a 49 años,736072
Total,Zona Urbana,De 50 a 54 años,655381
Total,Zona Urbana,De 55 a 59 años,526215
Total,Zona Urbana,De 60 a 64 años,276280
Total,Zona Urbana,De 65 a 69 años,60823
Total,Zona Urbana,De 70 a 74 años,15663
Total,Zona Urbana,De 75 y más años,12391
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),Total,1605686
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 16 a 19 años,93796
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 20 a 24 años,115148
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 25 a 29 años,110636
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 30 a 34 años,118137
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 35 a 39 años,132898
"Agricultura, ganadería, silvicultura y caza",Total nacional (Ambos sexos),De 40 a 44 años,158071
