sexo,sectoreseconómicos,ámbitopoblacional,gruposdeedad,total
Ambos sexos,Total,Total nacional,Total,10724581
Ambos sexos,Total,Total nacional,De 16 a 19 años,614308
Ambos sexos,Total,Total nacional,De 20 a 24 años,1240554
Ambos sexos,Total,Total nacional,De 25 a 29 años,1412712
Ambos sexos,Total,Total nacional,De 30 a 34 años,1355930
Ambos sexos,Total,Total nacional,De 35 a 39 años,1208753
Ambos sexos,Total,Total nacional,De 40 a 44 años,1064437
Ambos sexos,Total,Total nacional,De 45 a 49 años,1196776
Ambos sexos,Total,Total nacional,De 50 a 54 años,1091298
Ambos sexos,Total,Total nacional,De 55 a 59 años,892190
Ambos sexos,Total,Total nacional,De 60 a 64 años,491163
Ambos sexos,Total,Total nacional,De 65 a 69 años,102172
Ambos sexos,Total,Total nacional,De 70 a 74 años,30661
Ambos sexos,Total,Total nacional,De 75 y más años,23627
Ambos sexos,Total,Zona Rural,Total,2273139
Ambos sexos,Total,Zona Rural,De 16 a 19 años,165611
Ambos sexos,Total,Zona Rural,De 20 a 24 años,256624
Ambos sexos,Total,Zona Rural,De 25 a 29 años,253983
Ambos sexos,Total,Zona Rural,De 30 a 34 años,229465
Ambos sexos,Total,Zona Rural,De 35 a 39 años,216439
Ambos sexos,Total,Zona Rural,De 40 a 44 años,207512
Ambos sexos,Total,Zona Rural,De 45 a 49 años,266363
Ambos sexos,Total,Zona Rural,De 50 a 54 años,262208
Ambos sexos,Total,Zona Rural,De 55 a 59 años,226340
Ambos sexos,Total,Zona Rural,De 60 a 64 años,141336
Ambos sexos,Total,Zona Rural,De 65 a 69 años,28459
Ambos sexos,Total,Zona Rural,De 70 a 74 años,10995
Ambos sexos,Total,Zona Rural,De 75 y más años,7806
Ambos sexos,Total,Zona Intermedia,Total,1737169
Ambos sexos,Total,Zona Intermedia,De 16 a 19 años,129492
Ambos sexos,Total,Zona Intermedia,De 20 a 24 años,214950
Ambos sexos,Total,Zona Intermedia,De 25 a 29 años,226037
Ambos sexos,Total,Zona Intermedia,De 30 a 34 años,209849
Ambos sexos,Total,Zona Intermedia,De 35 a 39 años,186178
Ambos sexos,Total,Zona Intermedia,De 40 a 44 años,169107
Ambos sexos,Total,Zona Intermedia,De 45 a 49 años,194340
Ambos sexos,Total,Zona Intermedia,De 50 a 54 años,173709
Ambos sexos,Total,Zona Intermedia,De 55 a 59 años,139634
Ambos sexos,Total,Zona Intermedia,De 60 a 64 años,73547
Ambos sexos,Total,Zona Intermedia,De 65 a 69 años,12890
Ambos sexos,Total,Zona Intermedia,De 70 a 74 años,4003
Ambos sexos,Total,Zona Intermedia,De 75 y más años,3431
Ambos sexos,Total,Zona Urbana,Total,6714273
Ambos sexos,Total,Zona Urbana,De 16 a 19 años,319205
Ambos sexos,Total,Zona Urbana,De 20 a 24 años,768979
Ambos sexos,Total,Zona Urbana,De 25 a 29 años,932692
Ambos sexos,Total,Zona Urbana,De 30 a 34 años,916615
Ambos sexos,Total,Zona Urbana,De 35 a 39 años,806137
Ambos sexos,Total,Zona Urbana,De 40 a 44 años,687819
Ambos sexos,Total,Zona Urbana,De 45 a 49 años,736072
Ambos sexos,Total,Zona Urbana,De 50 a 54 años,655381
Ambos sexos,Total,Zona Urbana,De 55 a 59 años,626215
Ambos sexos,Total,Zona Urbana,De 60 a 64 años,276280
Ambos sexos,Total,Zona Urbana,De 65 a 69 años,60623
Ambos sexos,Total,Zona Urbana,De 70 a 74 años,15663
Ambos sexos,Total,Zona Urbana,De 75 y más años,12391
Ambos sexos,Agricultura,Total nacional,Total,1686081
