sexo,relaciónmunicipio1970y1981,gruposdeedad,activos,total
TOTAL,TOTAL,TOTAL,Total,27332882
TOTAL,TOTAL,TOTAL,Activos,12797025
TOTAL,TOTAL,de 16 a 24 años,Total,5540739
TOTAL,TOTAL,de 16 a 24 años,Activos,2954935
TOTAL,TOTAL,de 25 a 34,Total,4992742
TOTAL,TOTAL,de 25 a 34,Activos,3195763
TOTAL,TOTAL,de 35 a 44,Total,4301816
TOTAL,TOTAL,de 35 a 44,Activos,2483928
TOTAL,TOTAL,de 45 a 54,Total,4626315
TOTAL,TOTAL,de 45 a 54,Activos,2495760
TOTAL,TOTAL,de 55 a 64,Total,3634545
TOTAL,TOTAL,de 55 a 64,Activos,1504304
TOTAL,TOTAL,de 65 y más,Total,4236725
TOTAL,TOTAL,de 65 y más,Activos,162335
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Total,23534753
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Activos,10769264
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Total,4754096
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Activos,2536896
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Total,3692493
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Activos,2390471
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Total,3585154
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Activos,2047231
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Total,4170357
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Activos,2241385
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Total,3372037
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Activos,1401008
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Total,3960617
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Activos,152272
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Total,3798129
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Activos,2027761
