sexo,relaciónmunicipio1970y1981,gruposdeedad,ocupadosparados,total
TOTAL,TOTAL,TOTAL,Ocupados,10724581
TOTAL,TOTAL,TOTAL,Parados,2072444
TOTAL,TOTAL,de 16 a 24 años,Ocupados,1854862
TOTAL,TOTAL,de 16 a 24 años,Parados,1100073
TOTAL,TOTAL,de 25 a 34,Ocupados,2768642
TOTAL,TOTAL,de 25 a 34,Parados,427121
TOTAL,TOTAL,de 35 a 44,Ocupados,2273190
TOTAL,TOTAL,de 35 a 44,Parados,210738
TOTAL,TOTAL,de 45 a 54,Ocupados,2288074
TOTAL,TOTAL,de 45 a 54,Parados,207686
TOTAL,TOTAL,de 55 a 64,Ocupados,1383353
TOTAL,TOTAL,de 55 a 64,Parados,120951
TOTAL,TOTAL,de 65 y más,Ocupados,156460
TOTAL,TOTAL,de 65 y más,Parados,5875
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Ocupados,9007834
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,Parados,1761430
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Ocupados,1576571
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,Parados,960326
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Ocupados,2056227
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,Parados,334245
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Ocupados,1874872
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,Parados,172359
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Ocupados,2060812
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 45 a 54,Parados,180574
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Ocupados,1292469
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 55 a 64,Parados,108539
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Ocupados,146884
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,de 65 y más,Parados,5388
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Ocupados,1716747
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,Parados,311014
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Ocupados,278291
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,Parados,139747
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Ocupados,712416
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,Parados,92876
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Ocupados,398319
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,Parados,38379
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Ocupados,227262
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 45 a 54,Parados,27113
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Ocupados,90884
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 55 a 64,Parados,12412
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Ocupados,9576
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,de 65 y más,Parados,487
TOTAL,Misma CCAA,TOTAL,Ocupados,928753
TOTAL,Misma CCAA,TOTAL,Parados,153840
TOTAL,Misma CCAA,de 16 a 24 años,Ocupados,143448
TOTAL,Misma CCAA,de 16 a 24 años,Parados,70032
TOTAL,Misma CCAA,de 25 a 34,Ocupados,408155
TOTAL,Misma CCAA,de 25 a 34,Parados,49634
TOTAL,Misma CCAA,de 35 a 44,Ocupados,210126
TOTAL,Misma CCAA,de 35 a 44,Parados,17795
TOTAL,Misma CCAA,de 45 a 54,Ocupados,115360
TOTAL,Misma CCAA,de 45 a 54,Parados,11018
TOTAL,Misma CCAA,de 55 a 64,Ocupados,46962
TOTAL,Misma CCAA,de 55 a 64,Parados,5170
TOTAL,Misma CCAA,de 65 y más,Ocupados,4702
TOTAL,Misma CCAA,de 65 y más,Parados,192
TOTAL,"Misma Provincia, Total",TOTAL,Ocupados,796409
TOTAL,"Misma Provincia, Total",TOTAL,Parados,133696
TOTAL,"Misma Provincia, Total",de 16 a 24 años,Ocupados,126293
TOTAL,"Misma Provincia, Total",de 16 a 24 años,Parados,60683
TOTAL,"Misma Provincia, Total",de 25 a 34,Ocupados,351219
TOTAL,"Misma Provincia, Total",de 25 a 34,Parados,43187
TOTAL,"Misma Provincia, Total",de 35 a 44,Ocupados,178979
TOTAL,"Misma Provincia, Total",de 35 a 44,Parados,15642
TOTAL,"Misma Provincia, Total",de 45 a 54,Ocupados,97041
