sexo,relaciónmunicipio1970y1981,ramadeactividad,total
TOTAL,TOTAL,TOTAL,10724581
TOTAL,TOTAL,AGRICULTURA,1686081
TOTAL,TOTAL,ENERGÍA y AGUA,175410
TOTAL,TOTAL,INDUSTRIA,2799314
TOTAL,TOTAL,CONSTRUCCIÓN,926652
TOTAL,TOTAL,SERVICIOS,4957535
TOTAL,TOTAL,No Clasificables,179589
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,TOTAL,9007834
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,AGRICULTURA,1610936
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,ENERGÍA y AGUA,146721
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,INDUSTRIA,2338732
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,CONSTRUCCIÓN,776269
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,SERVICIOS,3983368
TOTAL,EN EL MISMO MUNICIPIO QUE EN 1981,No Clasificables,151808
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,TOTAL,1716747
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,AGRICULTURA,75145
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,ENERGÍA y AGUA,28689
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,INDUSTRIA,460583
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,CONSTRUCCIÓN,150383
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,SERVICIOS,974167
TOTAL,EN DISTINTO MUNICIPIO QUE EN 1981,No Clasificables,27780
TOTAL,Misma CCAA,TOTAL,928753
TOTAL,Misma CCAA,AGRICULTURA,50688
TOTAL,Misma CCAA,ENERGÍA y AGUA,16564
TOTAL,Misma CCAA,INDUSTRIA,275476
TOTAL,Misma CCAA,CONSTRUCCIÓN,79667
TOTAL,Misma CCAA,SERVICIOS,492685
TOTAL,Misma CCAA,No Clasificables,13674
TOTAL,"Misma Provincia, Total",TOTAL,796409
TOTAL,"Misma Provincia, Total",AGRICULTURA,43279
TOTAL,"Misma Provincia, Total",ENERGÍA y AGUA,13741
TOTAL,"Misma Provincia, Total",INDUSTRIA,248523
TOTAL,"Misma Provincia, Total",CONSTRUCCIÓN,70258
TOTAL,"Misma Provincia, Total",SERVICIOS,409114
TOTAL,"Misma Provincia, Total",No Clasificables,11493
TOTAL,Capital,TOTAL,280309
TOTAL,Capital,AGRICULTURA,3875
TOTAL,Capital,ENERGÍA y AGUA,3554
TOTAL,Capital,INDUSTRIA,91449
TOTAL,Capital,CONSTRUCCIÓN,21483
TOTAL,Capital,SERVICIOS,154812
TOTAL,Capital,No Clasificables,5136
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,60087
TOTAL,Municipios no capital mayores de 50.000 hab.,AGRICULTURA,1166
TOTAL,Municipios no capital mayores de 50.000 hab.,ENERGÍA y AGUA,1632
TOTAL,Municipios no capital mayores de 50.000 hab.,INDUSTRIA,24397
TOTAL,Municipios no capital mayores de 50.000 hab.,CONSTRUCCIÓN,4747
TOTAL,Municipios no capital mayores de 50.000 hab.,SERVICIOS,27341
TOTAL,Municipios no capital mayores de 50.000 hab.,No Clasificables,804
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,88356
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,AGRICULTURA,3555
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,ENERGÍA y AGUA,1608
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,INDUSTRIA,30555
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,CONSTRUCCIÓN,7224
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,SERVICIOS,44239
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,No Clasificables,1176
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,367657
TOTAL,Municipios no capital menores de 20.001 hab.,AGRICULTURA,34684
TOTAL,Municipios no capital menores de 20.001 hab.,ENERGÍA y AGUA,6947
TOTAL,Municipios no capital menores de 20.001 hab.,INDUSTRIA,102122
TOTAL,Municipios no capital menores de 20.001 hab.,CONSTRUCCIÓN,36804
TOTAL,Municipios no capital menores de 20.001 hab.,SERVICIOS,182723
TOTAL,Municipios no capital menores de 20.001 hab.,No Clasificables,4377
TOTAL,"Misma CCAA, distinta Provincia, Total",TOTAL,132341
TOTAL,"Misma CCAA, distinta Provincia, Total",AGRICULTURA,7408
TOTAL,"Misma CCAA, distinta Provincia, Total",ENERGÍA y AGUA,2823
TOTAL,"Misma CCAA, distinta Provincia, Total",INDUSTRIA,26953
TOTAL,"Misma CCAA, distinta Provincia, Total",CONSTRUCCIÓN,9408
TOTAL,"Misma CCAA, distinta Provincia, Total",SERVICIOS,83567
TOTAL,"Misma CCAA, distinta Provincia, Total",No Clasificables,2181
TOTAL,Capital,TOTAL,44913
TOTAL,Capital,AGRICULTURA,1196
TOTAL,Capital,ENERGÍA y AGUA,990
TOTAL,Capital,INDUSTRIA,6971
TOTAL,Capital,CONSTRUCCIÓN,2772
TOTAL,Capital,SERVICIOS,32144
TOTAL,Capital,No Clasificables,840
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,8715
TOTAL,Municipios no capital mayores de 50.000 hab.,AGRICULTURA,368
TOTAL,Municipios no capital mayores de 50.000 hab.,ENERGÍA y AGUA,140
TOTAL,Municipios no capital mayores de 50.000 hab.,INDUSTRIA,1509
TOTAL,Municipios no capital mayores de 50.000 hab.,CONSTRUCCIÓN,581
TOTAL,Municipios no capital mayores de 50.000 hab.,SERVICIOS,5980
TOTAL,Municipios no capital mayores de 50.000 hab.,No Clasificables,137
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,13097
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,AGRICULTURA,756
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,ENERGÍA y AGUA,234
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,INDUSTRIA,2982
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,CONSTRUCCIÓN,941
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,SERVICIOS,8008
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,No Clasificables,176
TOTAL,Municipios no capital menores de 20.001 hab.,TOTAL,65615
TOTAL,Municipios no capital menores de 20.001 hab.,AGRICULTURA,5089
TOTAL,Municipios no capital menores de 20.001 hab.,ENERGÍA y AGUA,1458
TOTAL,Municipios no capital menores de 20.001 hab.,INDUSTRIA,16491
TOTAL,Municipios no capital menores de 20.001 hab.,CONSTRUCCIÓN,5114
TOTAL,Municipios no capital menores de 20.001 hab.,SERVICIOS,37436
TOTAL,Municipios no capital menores de 20.001 hab.,No Clasificables,1028
TOTAL,"Distinta CCAA, Total",TOTAL,637196
TOTAL,"Distinta CCAA, Total",AGRICULTURA,16419
TOTAL,"Distinta CCAA, Total",ENERGÍA y AGUA,9693
TOTAL,"Distinta CCAA, Total",INDUSTRIA,151077
TOTAL,"Distinta CCAA, Total",CONSTRUCCIÓN,56726
TOTAL,"Distinta CCAA, Total",SERVICIOS,392240
TOTAL,"Distinta CCAA, Total",No Clasificables,11041
TOTAL,Capital,TOTAL,238541
TOTAL,Capital,AGRICULTURA,4876
TOTAL,Capital,ENERGÍA y AGUA,3556
TOTAL,Capital,INDUSTRIA,37797
TOTAL,Capital,CONSTRUCCIÓN,16425
TOTAL,Capital,SERVICIOS,171455
TOTAL,Capital,No Clasificables,4433
TOTAL,Municipios no capital mayores de 50.000 hab.,TOTAL,33861
TOTAL,Municipios no capital mayores de 50.000 hab.,AGRICULTURA,802
TOTAL,Municipios no capital mayores de 50.000 hab.,ENERGÍA y AGUA,1131
TOTAL,Municipios no capital mayores de 50.000 hab.,INDUSTRIA,7443
TOTAL,Municipios no capital mayores de 50.000 hab.,CONSTRUCCIÓN,3244
TOTAL,Municipios no capital mayores de 50.000 hab.,SERVICIOS,20616
TOTAL,Municipios no capital mayores de 50.000 hab.,No Clasificables,625
TOTAL,Municipios no capital de 20.001 a 50.000 hab.,TOTAL,52099
