tipodezona,grupoquinquenaldeedad,nºdehijosnacidosvivos,total
Total Nacional,Total,,10657745
Total Nacional,Total,0,942483
Total Nacional,Total,1,1754357
Total Nacional,Total,2,3552638
Total Nacional,Total,3,1948541
Total Nacional,Total,4,1088702
Total Nacional,Total,5,580051
Total Nacional,Total,6,322878
Total Nacional,Total,7,187642
Total Nacional,Total,8,117178
Total Nacional,Total,,163275
Total Nacional,De 15 a 19 años,,89999
Total Nacional,De 15 a 19 años,0,30087
Total Nacional,De 15 a 19 años,1,40208
Total Nacional,De 15 a 19 años,2,17838
Total Nacional,De 15 a 19 años,3,870
Total Nacional,De 15 a 19 años,4,813
Total Nacional,De 15 a 19 años,5,184
Total Nacional,De 15 a 19 años,6,
Total Nacional,De 15 a 19 años,7,
Total Nacional,De 15 a 19 años,8,
Total Nacional,De 15 a 19 años,,
Total Nacional,De 20 a 24 años,,595928
Total Nacional,De 20 a 24 años,0,174912
Total Nacional,De 20 a 24 años,1,260879
Total Nacional,De 20 a 24 años,2,134685
Total Nacional,De 20 a 24 años,3,20012
Total Nacional,De 20 a 24 años,4,3955
Total Nacional,De 20 a 24 años,5,931
Total Nacional,De 20 a 24 años,6,327
Total Nacional,De 20 a 24 años,7,140
Total Nacional,De 20 a 24 años,8,55
Total Nacional,De 20 a 24 años,,32
Total Nacional,De 25 a 29 años,,978713
Total Nacional,De 25 a 29 años,0,126605
Total Nacional,De 25 a 29 años,1,351870
Total Nacional,De 25 a 29 años,2,375156
Total Nacional,De 25 a 29 años,3,92367
Total Nacional,De 25 a 29 años,4,22799
Total Nacional,De 25 a 29 años,5,6511
Total Nacional,De 25 a 29 años,6,2009
Total Nacional,De 25 a 29 años,7,815
Total Nacional,De 25 a 29 años,8,371
Total Nacional,De 25 a 29 años,,210
Total Nacional,De 30 a 34 años,,1072160
Total Nacional,De 30 a 34 años,0,54085
Total Nacional,De 30 a 34 años,1,182991
Total Nacional,De 30 a 34 años,2,500524
Total Nacional,De 30 a 34 años,3,222357
Total Nacional,De 30 a 34 años,4,75023
Total Nacional,De 30 a 34 años,5,23369
Total Nacional,De 30 a 34 años,6,7852
Total Nacional,De 30 a 34 años,7,3194
Total Nacional,De 30 a 34 años,8,1588
Total Nacional,De 30 a 34 años,,1177
Total Nacional,De 35 a 39 años,,1009510
Total Nacional,De 35 a 39 años,0,38288
Total Nacional,De 35 a 39 años,1,104682
Total Nacional,De 35 a 39 años,2,398817
Total Nacional,De 35 a 39 años,3,261597
Total Nacional,De 35 a 39 años,4,122211
Total Nacional,De 35 a 39 años,5,48229
Total Nacional,De 35 a 39 años,6,19022
Total Nacional,De 35 a 39 años,7,8324
Total Nacional,De 35 a 39 años,8,4122
Total Nacional,De 35 a 39 años,,4216
Total Nacional,De 40 a 44 años,,946911
Total Nacional,De 40 a 44 años,0,38437
Total Nacional,De 40 a 44 años,1,91271
Total Nacional,De 40 a 44 años,2,321266
Total Nacional,De 40 a 44 años,3,236958
Total Nacional,De 40 a 44 años,4,133798
Total Nacional,De 40 a 44 años,5,63713
Total Nacional,De 40 a 44 años,6,30121
Total Nacional,De 40 a 44 años,7,15055
Total Nacional,De 40 a 44 años,8,7678
Total Nacional,De 40 a 44 años,,9614
Total Nacional,De 45 a 49 años,,1082247
Total Nacional,De 45 a 49 años,0,57195
Total Nacional,De 45 a 49 años,1,118678
Total Nacional,De 45 a 49 años,2,352639
Total Nacional,De 45 a 49 años,3,245360
Total Nacional,De 45 a 49 años,4,145340
Total Nacional,De 45 a 49 años,5,75680
Total Nacional,De 45 a 49 años,6,38979
Total Nacional,De 45 a 49 años,7,20684
