tipodezona,actividad,añodelaboda,edaddelamujer,total
Total Nacional,ECON. ACTIVAS,TOTAL,Total,1.8
Total Nacional,ECON. ACTIVAS,TOTAL,De 15 a 19 años,.8
Total Nacional,ECON. ACTIVAS,TOTAL,De 20 a 24 años,.7
Total Nacional,ECON. ACTIVAS,TOTAL,De 25 a 29 años,1.1
Total Nacional,ECON. ACTIVAS,TOTAL,De 30 a 34 años,1.8
Total Nacional,ECON. ACTIVAS,TOTAL,De 35 a 39 años,2.3
Total Nacional,ECON. ACTIVAS,TOTAL,De 40 a 44 años,2.6
Total Nacional,ECON. ACTIVAS,TOTAL,De 45 a 49 años,2.6
Total Nacional,ECON. ACTIVAS,TOTAL,de 50 y más años,2.5
Total Nacional,ECON. ACTIVAS,En 1981,Total,.1
Total Nacional,ECON. ACTIVAS,En 1981,De 15 a 19 años,.1
Total Nacional,ECON. ACTIVAS,En 1981,De 20 a 24 años,.1
Total Nacional,ECON. ACTIVAS,En 1981,De 25 a 29 años,.1
Total Nacional,ECON. ACTIVAS,En 1981,De 30 a 34 años,.1
Total Nacional,ECON. ACTIVAS,En 1981,De 35 a 39 años,.2
Total Nacional,ECON. ACTIVAS,En 1981,De 40 a 44 años,.4
Total Nacional,ECON. ACTIVAS,En 1981,De 45 a 49 años,.4
Total Nacional,ECON. ACTIVAS,En 1981,de 50 y más años,.2
Total Nacional,ECON. ACTIVAS,En 1980,Total,.3
Total Nacional,ECON. ACTIVAS,En 1980,De 15 a 19 años,.5
Total Nacional,ECON. ACTIVAS,En 1980,De 20 a 24 años,.3
Total Nacional,ECON. ACTIVAS,En 1980,De 25 a 29 años,.3
Total Nacional,ECON. ACTIVAS,En 1980,De 30 a 34 años,.3
Total Nacional,ECON. ACTIVAS,En 1980,De 35 a 39 años,.4
Total Nacional,ECON. ACTIVAS,En 1980,De 40 a 44 años,.3
Total Nacional,ECON. ACTIVAS,En 1980,De 45 a 49 años,.4
Total Nacional,ECON. ACTIVAS,En 1980,de 50 y más años,.4
Total Nacional,ECON. ACTIVAS,En 1979,Total,.6
Total Nacional,ECON. ACTIVAS,En 1979,De 15 a 19 años,.9
Total Nacional,ECON. ACTIVAS,En 1979,De 20 a 24 años,.6
Total Nacional,ECON. ACTIVAS,En 1979,De 25 a 29 años,.6
Total Nacional,ECON. ACTIVAS,En 1979,De 30 a 34 años,.8
Total Nacional,ECON. ACTIVAS,En 1979,De 35 a 39 años,.8
Total Nacional,ECON. ACTIVAS,En 1979,De 40 a 44 años,.9
Total Nacional,ECON. ACTIVAS,En 1979,De 45 a 49 años,.9
Total Nacional,ECON. ACTIVAS,En 1979,de 50 y más años,1
Total Nacional,ECON. ACTIVAS,En 1978,Total,.9
Total Nacional,ECON. ACTIVAS,En 1978,De 15 a 19 años,1.3
Total Nacional,ECON. ACTIVAS,En 1978,De 20 a 24 años,.8
Total Nacional,ECON. ACTIVAS,En 1978,De 25 a 29 años,.8
Total Nacional,ECON. ACTIVAS,En 1978,De 30 a 34 años,1
Total Nacional,ECON. ACTIVAS,En 1978,De 35 a 39 años,1.2
Total Nacional,ECON. ACTIVAS,En 1978,De 40 a 44 años,1.3
Total Nacional,ECON. ACTIVAS,En 1978,De 45 a 49 años,1.3
Total Nacional,ECON. ACTIVAS,En 1978,de 50 y más años,1.5
Total Nacional,ECON. ACTIVAS,En 1977,Total,1.1
Total Nacional,ECON. ACTIVAS,En 1977,De 15 a 19 años,1.4
Total Nacional,ECON. ACTIVAS,En 1977,De 20 a 24 años,1.1
Total Nacional,ECON. ACTIVAS,En 1977,De 25 a 29 años,1
Total Nacional,ECON. ACTIVAS,En 1977,De 30 a 34 años,1.2
Total Nacional,ECON. ACTIVAS,En 1977,De 35 a 39 años,1.4
Total Nacional,ECON. ACTIVAS,En 1977,De 40 a 44 años,1.6
Total Nacional,ECON. ACTIVAS,En 1977,De 45 a 49 años,1.7
Total Nacional,ECON. ACTIVAS,En 1977,de 50 y más años,2.1
Total Nacional,ECON. ACTIVAS,En 1976,Total,1.3
Total Nacional,ECON. ACTIVAS,En 1976,De 15 a 19 años,1.9
Total Nacional,ECON. ACTIVAS,En 1976,De 20 a 24 años,1.3
Total Nacional,ECON. ACTIVAS,En 1976,De 25 a 29 años,1.2
Total Nacional,ECON. ACTIVAS,En 1976,De 30 a 34 años,1.3
Total Nacional,ECON. ACTIVAS,En 1976,De 35 a 39 años,1.6
Total Nacional,ECON. ACTIVAS,En 1976,De 40 a 44 años,1.6
