Entity,Code,Year,Completed cohort fertility rate
Austria,AUT,1936,2.436
Austria,AUT,1937,2.41
Austria,AUT,1938,2.339
Austria,AUT,1939,2.202
Austria,AUT,1940,2.132
Austria,AUT,1941,2.065
Austria,AUT,1942,2.037
Austria,AUT,1943,1.983
Austria,AUT,1944,1.953
Austria,AUT,1945,1.938
Austria,AUT,1946,1.986
Austria,AUT,1947,1.931
Austria,AUT,1948,1.916
Austria,AUT,1949,1.908
Austria,AUT,1950,1.863
Austria,AUT,1951,1.835
Austria,AUT,1952,1.812
Austria,AUT,1953,1.817
Austria,AUT,1954,1.784
Austria,AUT,1955,1.768
Austria,AUT,1956,1.746
Austria,AUT,1957,1.73
Austria,AUT,1958,1.713
Austria,AUT,1959,1.714
Austria,AUT,1960,1.698
Austria,AUT,1961,1.676
Austria,AUT,1962,1.675
Austria,AUT,1963,1.667
Austria,AUT,1964,1.652
Austria,AUT,1965,1.657
Austria,AUT,1966,1.64
Austria,AUT,1967,1.626
Austria,AUT,1968,1.61
Austria,AUT,1969,1.615
Austria,AUT,1970,1.624
Austria,AUT,1971,1.634
Austria,AUT,1972,1.651
Austria,AUT,1973,1.661
Belarus,BLR,1949,1.968
Belarus,BLR,1950,1.938
Belarus,BLR,1951,1.964
Belarus,BLR,1952,1.928
Belarus,BLR,1953,1.886
Belarus,BLR,1954,1.915
Belarus,BLR,1955,1.931
Belarus,BLR,1956,1.926
Belarus,BLR,1957,1.924
Belarus,BLR,1958,1.921
Belarus,BLR,1959,1.891
Belarus,BLR,1960,1.873
Belarus,BLR,1961,1.857
Belarus,BLR,1962,1.815
Belarus,BLR,1963,1.736
Belarus,BLR,1964,1.684
Belarus,BLR,1965,1.689
Belarus,BLR,1966,1.7
Belarus,BLR,1967,1.713
Belarus,BLR,1968,1.709
Belgium,BEL,1932,2.292
Belgium,BEL,1933,2.279
Belgium,BEL,1934,2.278
Belgium,BEL,1935,2.274
Belgium,BEL,1936,2.235
Belgium,BEL,1937,2.22
Belgium,BEL,1938,2.186
