codprov,province,source_page_viii,parsed_token_count_viii,sector_gap_share_viii,usable_viii,source_page_viii_cap,parsed_token_count_viii_cap,sector_gap_share_viii_cap,usable_viii_cap,sector_gap_share_viii_rest,usable_viii_rest_strict,usable_viii_rest_soft,usable_viii_rest,active_total_1950,active_total_1950_cap,active_total_1950_rest,agri_total_1950,manufacturing_total_1950,construction_total_1950,utilities_total_1950,commerce_total_1950,transport_total_1950,services_total_1950,unspecified_total_1950
1.0,alava,1.0,10,0.0,1,1.0,10,0.0,1,0.0,1.0,0.0,1.0,46966.0,21576.0,25390.0,19684.0,10731.0,3062.0,187.0,2963.0,1622.0,8053.0,498.0
2.0,albacete,1.0,10,0.0,1,1.0,10,0.0,1,0.0,1.0,0.0,1.0,138634.0,24353.0,114281.0,91629.0,15597.0,6257.0,260.0,6984.0,4843.0,12122.0,521.0
3.0,alicante,2.0,10,0.0,1,2.0,10,0.0,1,0.0,1.0,0.0,1.0,246332.0,38643.0,207689.0,109327.0,66884.0,9623.0,1266.0,15968.0,9643.0,25088.0,6202.0
4.0,almeria,3.0,10,0.0,1,3.0,10,0.0,1,0.0,1.0,0.0,1.0,122640.0,26087.0,96553.0,78682.0,9318.0,4339.0,563.0,5828.0,3631.0,14409.0,2183.0
5.0,avila,4.0,10,0.0,1,4.0,10,0.0,1,0.0,1.0,0.0,1.0,86613.0,7166.0,79447.0,62770.0,4426.0,3015.0,398.0,3199.0,1881.0,9840.0,799.0
6.0,badajoz,4.0,10,0.0,1,5.0,10,0.0,1,0.0,1.0,0.0,1.0,286181.0,29228.0,256953.0,205055.0,22869.0,9168.0,473.0,10743.0,4926.0,30651.0,966.0
7.0,baleares,6.0,10,0.0,1,6.0,10,0.17733640716439084,1,0.08392923087252828,1.0,0.0,1.0,175538.0,56390.0,119148.0,70437.0,43389.0,12445.0,716.0,11550.0,5929.0,28054.0,1165.0
8.0,barcelona,,0,,0,,0,,0,,0.0,0.0,0.0,,,,,,,,,,,
9.0,burgos,,0,,0,,0,,0,,0.0,0.0,0.0,,,,,,,,,,,
10.0,caceres,7.0,10,0.0,1,7.0,10,0.0,1,0.0,1.0,0.0,1.0,185305.0,14754.0,170551.0,139226.0,11662.0,4884.0,31.0,6196.0,3644.0,18347.0,650.0
11.0,cadiz,7.0,10,0.0,1,8.0,10,0.0,1,0.0,1.0,0.0,1.0,242112.0,34340.0,207772.0,101062.0,41510.0,20404.0,870.0,16017.0,10877.0,43620.0,6312.0
12.0,castellon,9.0,10,0.0,1,9.0,10,0.0,1,0.0,1.0,0.0,1.0,130789.0,20787.0,110002.0,83839.0,20554.0,3769.0,555.0,5733.0,3618.0,12156.0,252.0
13.0,ciudad real,10.0,10,5.27693346842283e-05,1,7.0,10,0.0,1,5.630250208319258e-05,1.0,0.0,1.0,189504.0,11892.0,177612.0,119312.0,18544.0,8191.0,1309.0,7691.0,6841.0,17781.0,679.0
14.0,cordoba,11.0,10,0.0,1,11.0,10,0.0,1,0.0,1.0,0.0,1.0,275521.0,61602.0,213919.0,167752.0,30722.0,13697.0,1394.0,12274.0,7238.0,37143.0,1166.0
15.0,a coruña,13.0,10,0.0,1,13.0,10,0.0,1,0.0,1.0,0.0,1.0,415028.0,54245.0,360783.0,269429.0,50846.0,21713.0,1293.0,17920.0,8958.0,43578.0,499.0
16.0,cuenca,15.0,10,0.0,1,15.0,10,0.0,1,0.0,1.0,0.0,1.0,116806.0,8431.0,108375.0,86453.0,8421.0,4302.0,690.0,3614.0,1623.0,9512.0,1918.0
17.0,gerona,15.0,10,0.0,1,15.0,10,0.0,1,0.0,1.0,0.0,1.0,154326.0,13093.0,141233.0,64036.0,44979.0,7572.0,959.0,11465.0,4995.0,18022.0,1129.0
18.0,granada,15.0,10,0.0,1,16.0,10,0.00865426222414539,1,0.0023000243802584306,1.0,0.0,1.0,275164.0,57775.0,217389.0,186672.0,21730.0,8723.0,667.0,13815.0,5846.0,35652.0,738.0
19.0,guadalajara,17.0,10,0.0,1,17.0,10,0.0,1,0.0,1.0,0.0,1.0,78157.0,7200.0,70957.0,57478.0,5053.0,3349.0,263.0,2874.0,1553.0,7052.0,303.0
20.0,guipuzcoa,17.0,10,0.0,1,17.0,10,0.0,1,0.0,1.0,0.0,1.0,153662.0,48967.0,104695.0,31238.0,62246.0,8159.0,988.0,12741.0,7498.0,28613.0,1514.0
21.0,huelva,18.0,10,0.0,1,18.0,10,0.0,1,0.0,1.0,0.0,1.0,135097.0,22885.0,112212.0,71753.0,14186.0,3774.0,330.0,6843.0,5104.0,18854.0,999.0
22.0,huesca,19.0,10,0.0,1,19.0,10,0.0,1,0.0,1.0,0.0,1.0,101496.0,8718.0,92778.0,67021.0,9364.0,4114.0,553.0,4457.0,2163.0,11212.0,2089.0
23.0,jaen,19.0,10,0.0,1,19.0,10,0.0,1,0.0,1.0,0.0,1.0,257255.0,21314.0,235941.0,176963.0,19531.0,9999.0,1264.0,10765.0,5554.0,25924.0,518.0
24.0,leon,21.0,10,0.0,1,21.0,10,0.0,1,0.0,1.0,0.0,1.0,193589.0,21032.0,172557.0,114452.0,13931.0,7810.0,1187.0,8204.0,8231.0,18591.0,954.0
25.0,lleida,21.0,10,0.0,1,21.0,10,0.0,1,0.0,1.0,0.0,1.0,136654.0,21365.0,115289.0,82622.0,16943.0,8128.0,1562.0,7508.0,4748.0,13175.0,129.0
26.0,logrono,,10,0.0,1,22.0,10,0.0,1,0.0,1.0,0.0,1.0,86810.0,19558.0,67252.0,46818.0,15763.0,2839.0,467.0,4529.0,2149.0,12162.0,1772.0
27.0,lugo,22.0,10,0.0,1,22.0,10,0.0,1,0.0,1.0,0.0,1.0,250878.0,22810.0,228068.0,209107.0,11310.0,4582.0,255.0,6813.0,3776.0,14342.0,509.0
28.0,madrid,23.0,10,0.0,1,23.0,10,0.0,1,0.0,1.0,0.0,1.0,761717.0,645257.0,116460.0,69348.0,152534.0,76605.0,8962.0,92992.0,59519.0,245139.0,53780.0
