sample,outcome,spec,coefname,b,se,p,N
female,kids,baseline,treat_2,-.0063790103193607,.018826468,.73517781,4508
female,kids,baseline,treat_3,.0024988975985392,.024550563,.91905338,4508
female,kids,plus_1830_1962,law56_share_18_30_1962,-.0248755157618345,.053438753,.64239961,3944
female,kids,plus_1830_1962,treat_2,-.0062481614474766,.018757455,.73962379,3944
female,kids,plus_1830_1962,treat_3,.0111298558388218,.030209932,.71319556,3944
female,kids,plus_1962,law56_share_20_35_1962,.0376230914898728,.06510739,.56441361,3944
female,kids,plus_1962,treat_2,-.0155096799884695,.02420626,.52288997,3944
female,kids,plus_1962,treat_3,-.0170975949876865,.041034117,.67764765,3944
female,kids,plus_1962_1970,decree70_share_20_35,-.0374981935226943,.035971496,.29925147,3944
female,kids,plus_1962_1970,law56_share_20_35_1962,.0611116245398789,.069249034,.379233,3944
female,kids,plus_1962_1970,treat_2,-.0212100631254928,.02479413,.39396703,3944
female,kids,plus_1962_1970,treat_3,-.0197795267018713,.041005444,.63040507,3944
female,kids,plus_1962_1970_1973,crisis73_share_25_35,-.0163394274175831,.12225486,.89389735,3944
female,kids,plus_1962_1970_1973,decree70_share_20_35,-.0181202762067473,.15528958,.90729839,3944
female,kids,plus_1962_1970_1973,law56_share_20_35_1962,.0533979232496882,.090279832,.55529022,3944
female,kids,plus_1962_1970_1973,treat_2,-.0193380410343288,.028315652,.49592575,3944
female,kids,plus_1962_1970_1973,treat_3,-.0166598108074605,.045344692,.71394926,3944
female,nkids,baseline,treat_2,-.1766522781031264,.13098393,.17934144,4503
female,nkids,baseline,treat_3,-.3437692434410518,.14927125,.022559486,4503
female,nkids,plus_1830_1962,law56_share_18_30_1962,-.1669548973086697,.28497404,.55904305,3940
female,nkids,plus_1830_1962,treat_2,-.1757740707856365,.13022873,.17958038,3940
female,nkids,plus_1830_1962,treat_3,-.2858172448293459,.17183368,.09879107,3940
female,nkids,plus_1962,law56_share_20_35_1962,.0379842558320369,.34431809,.91233748,3940
female,nkids,plus_1962,treat_2,-.1858705979937872,.15039693,.21886308,3940
female,nkids,plus_1962,treat_3,-.3635583566942309,.2156518,.094358273,3940
female,nkids,plus_1962_1970,decree70_share_20_35,-.4346643333540694,.26879859,.10842647,3940
female,nkids,plus_1962_1970,law56_share_20_35_1962,.3102416271498717,.40418816,.44421524,3940
female,nkids,plus_1962_1970,treat_2,-.2519441720686918,.1593447,.11641718,3940
female,nkids,plus_1962_1970,treat_3,-.3946297809496762,.22302449,.079297669,3940
female,nkids,plus_1962_1970_1973,crisis73_share_25_35,-.7963161002826592,.60537189,.19081677,3940
female,nkids,plus_1962_1970_1973,decree70_share_20_35,.5097519217356677,.69493669,.46463543,3940
female,nkids,plus_1962_1970_1973,law56_share_20_35_1962,-.0655127717676487,.50368083,.89672506,3940
female,nkids,plus_1962_1970_1973,treat_2,-.1607531200480481,.16970447,.34536701,3940
female,nkids,plus_1962_1970_1973,treat_3,-.2427394218197825,.25577471,.34446323,3940
