sample,outcome,spec,coefname,b,se,p,N
macro,alive,full_sample_pre1972,interaction,-377.9377442547158,196.21104,.05695029,4220
macro,alive,full_sample_pre1972,interaction2,-180.7673364902011,107.14964,.094741389,4220
macro,alive,full_sample_reference,interaction,-477.9992157123089,238.85851,.048110079,5518
macro,alive,full_sample_reference,interaction2,-176.3478064432542,148.67668,.23841533,5518
macro,alive,industrial_core_share_1950,interaction,-454.8812547195115,221.79741,.043031726,5314
macro,alive,industrial_core_share_1950,interaction2,-98.25319117407324,154.85844,.52729845,5314
macro,alive,industrial_core_share_1950,post73_f,-451.4289853800836,207.74182,.032265123,5314
macro,alive,industrial_core_share_1950,post73_m,-370.8913212383568,152.39067,.016809763,5314
macro,alive,industrial_core_share_1950,proxy73_f,-219.8628307968206,251.24556,.38373125,5314
macro,alive,industrial_core_share_1950,proxy73_m,219.7176082853909,260.6235,.40132034,5314
macro,alive,industrial_core_share_1950,proxy_f,-340.7647575778676,283.99216,.23315853,5314
macro,alive,industrial_core_share_1950,proxy_m,317.0545259558199,270.79871,.24460261,5314
macro,alive,manuf_trade_share_1950,interaction,-456.3011580682206,215.00409,.036414407,5314
macro,alive,manuf_trade_share_1950,interaction2,-72.48702487575875,169.04904,.66904473,5314
macro,alive,manuf_trade_share_1950,post73_f,-452.9003378809994,202.90779,.02796172,5314
macro,alive,manuf_trade_share_1950,post73_m,-354.2952266810327,157.2417,.026547475,5314
macro,alive,manuf_trade_share_1950,proxy73_f,-273.1815868846634,296.08444,.35852829,5314
macro,alive,manuf_trade_share_1950,proxy73_m,264.5775132758573,303.40656,.38539436,5314
macro,alive,manuf_trade_share_1950,proxy_f,-420.7495886394053,336.6575,.21444818,5314
macro,alive,manuf_trade_share_1950,proxy_m,397.9686998676987,327.69434,.22758572,5314
macro,alive,nonag_share_1950,interaction,-436.9558347526313,143.27058,.0029667914,5314
macro,alive,nonag_share_1950,interaction2,-65.73831320455109,146.49776,.65464652,5314
macro,alive,nonag_share_1950,post73_f,-435.8360476280141,151.83682,.0050533414,5314
macro,alive,nonag_share_1950,post73_m,-349.5345326336443,163.59109,.035196874,5314
macro,alive,nonag_share_1950,proxy73_f,-351.8700784205121,215.11798,.10520995,5314
macro,alive,nonag_share_1950,proxy73_m,193.7776616170362,242.44806,.42613679,5314
macro,alive,nonag_share_1950,proxy_f,-506.7607331482703,234.15817,.032957591,5314
macro,alive,nonag_share_1950,proxy_m,369.4464767960279,243.04068,.13180685,5314
macro,alive,oil_sensitive_share_1950,interaction,-476.9445787485141,220.11119,.032748573,5314
macro,alive,oil_sensitive_share_1950,interaction2,-72.23766197016828,165.84964,.6641432,5314
macro,alive,oil_sensitive_share_1950,post73_f,-467.9482157005338,208.00681,.026777953,5314
macro,alive,oil_sensitive_share_1950,post73_m,-353.2462985925151,159.0748,.028752856,5314
macro,alive,oil_sensitive_share_1950,proxy73_f,-273.101891106429,266.94553,.30887654,5314
macro,alive,oil_sensitive_share_1950,proxy73_m,246.4887358232827,277.88864,.377316,5314
macro,alive,oil_sensitive_share_1950,proxy_f,-407.889385026917,301.51569,.17933157,5314
macro,alive,oil_sensitive_share_1950,proxy_m,368.8035301428062,292.95969,.21115538,5314
macro,alive,proxy_sample_baseline,interaction,-468.0749602518874,238.36131,.052485909,5314
macro,alive,proxy_sample_baseline,interaction2,-199.2910715430219,138.83897,.15445419,5314
macro,alive,proxy_sample_pre1972,interaction,-372.5669154144626,196.81143,.061399862,4068
macro,alive,proxy_sample_pre1972,interaction2,-203.0046309154339,102.16376,.049796756,4068
