mobility_status,age_group,totalOcupados,totalParados,sexo,labor_force,employed_share,totalActivos,totalTotal,active_share
"Distinta CCAA, Total",de 16 a 24 años,53590,27748,MUJERES,81338,.65885562,81339,170877,.47600907
"Distinta CCAA, Total",de 25 a 34,67106,11952,MUJERES,79058,.84881985,79059,247939,.31886473
"Distinta CCAA, Total",de 35 a 44,24724,2082,MUJERES,26806,.9223308,26806,118096,.22698483
EN DISTINTO MUNICIPIO QUE EN 1981,de 16 a 24 años,126578,67404,MUJERES,193982,.65252447,193982,438704,.44217056
EN DISTINTO MUNICIPIO QUE EN 1981,de 25 a 34,166235,28802,MUJERES,195037,.85232544,195038,674677,.28908351
EN DISTINTO MUNICIPIO QUE EN 1981,de 35 a 44,63383,6045,MUJERES,69428,.91293138,69429,338772,.20494315
EN EL MISMO MUNICIPIO QUE EN 1981,de 16 a 24 años,613580,404982,MUJERES,1018562,.60239828,1018563,2295968,.44363117
EN EL MISMO MUNICIPIO QUE EN 1981,de 25 a 34,505496,85953,MUJERES,591449,.85467386,591449,1808274,.3270793
EN EL MISMO MUNICIPIO QUE EN 1981,de 35 a 44,325323,24748,MUJERES,350071,.92930579,350071,1818884,.19246472
"Misma CCAA, distinta Provincia, Total",de 16 a 24 años,7485,4661,MUJERES,12146,.61625224,12146,33402,.36363092
"Misma CCAA, distinta Provincia, Total",de 25 a 34,14797,2623,MUJERES,17420,.84942597,17420,54052,.32228225
"Misma CCAA, distinta Provincia, Total",de 35 a 44,5593,451,MUJERES,6044,.92538053,6043,26386,.22902296
"Misma Provincia, Total",de 16 a 24 años,57096,28809,MUJERES,85905,.6646412,85905,199386,.4308477
"Misma Provincia, Total",de 25 a 34,72525,11458,MUJERES,83983,.86356765,83982,325990,.25762141
"Misma Provincia, Total",de 35 a 44,23976,1942,MUJERES,25918,.92507136,25918,145558,.17805961
