sexo,mobility_status,rama_de_actividad,total,denom,sector_share
MUJERES,"Distinta CCAA, Total",INDUSTRIA,30563,166468,.18359685
MUJERES,"Distinta CCAA, Total",AGRICULTURA,1331,166468,.007995531
MUJERES,"Distinta CCAA, Total",ENERGÍA y AGUA,509,166468,.0030576447
MUJERES,"Distinta CCAA, Total",SERVICIOS,133042,166468,.79920465
MUJERES,"Distinta CCAA, Total",CONSTRUCCIÓN,1023,166468,.006145325
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,AGRICULTURA,8157,411204,.019836869
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,ENERGÍA y AGUA,1692,411204,.0041147461
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,INDUSTRIA,81525,411204,.19825926
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,CONSTRUCCIÓN,2970,411204,.0072226925
MUJERES,EN DISTINTO MUNICIPIO QUE EN 1981,SERVICIOS,316860,411204,.77056646
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,ENERGÍA y AGUA,10337,2052298,.0050367927
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,INDUSTRIA,472072,2052298,.23002118
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,SERVICIOS,1328940,2052298,.64753753
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,AGRICULTURA,223885,2052298,.10908991
MUJERES,EN EL MISMO MUNICIPIO QUE EN 1981,CONSTRUCCIÓN,17064,2052298,.0083145816
MUJERES,"Misma CCAA, distinta Provincia, Total",ENERGÍA y AGUA,144,33034,.0043591452
MUJERES,"Misma CCAA, distinta Provincia, Total",INDUSTRIA,4151,33034,.12565841
MUJERES,"Misma CCAA, distinta Provincia, Total",SERVICIOS,27689,33034,.83819699
MUJERES,"Misma CCAA, distinta Provincia, Total",CONSTRUCCIÓN,191,33034,.0057819216
MUJERES,"Misma CCAA, distinta Provincia, Total",AGRICULTURA,859,33034,.026003512
MUJERES,"Misma Provincia, Total",INDUSTRIA,41129,174199,.23610353
MUJERES,"Misma Provincia, Total",SERVICIOS,125925,174199,.72288013
MUJERES,"Misma Provincia, Total",AGRICULTURA,4965,174199,.028501885
MUJERES,"Misma Provincia, Total",CONSTRUCCIÓN,1461,174199,.0083869593
MUJERES,"Misma Provincia, Total",ENERGÍA y AGUA,719,174199,.0041274633
