spec,coefname,b,se,p,N,r2
stay_on_gaps,treat_gap_f,.0041419453566443,.0028792869,.15690948,50,.034526493
stay_on_gaps,treat_gap_m,.0057553041236332,.0059241722,.33627519,50,.034526493
stay_on_gaps_ctrl,ln_origin_total,.0551789982150911,.036317512,.13566998,50,.38922617
stay_on_gaps_ctrl,muni_share_1940,.6077801299820791,.18647656,.0021305864,50,.38922617
stay_on_gaps_ctrl,treat_gap_f,.0082537672714302,.0033029886,.016176706,50,.38922617
stay_on_gaps_ctrl,treat_gap_m,.0007645909584306,.0053847129,.88771945,50,.38922617
stay_on_levels,sum1muni,-.0053914261281765,.0051293033,.29858577,50,.036140714
stay_on_levels,sum2muni,-.0031554677833167,.006564084,.63294774,50,.036140714
stay_on_levels_ctrl,ln_origin_total,.0442989438723354,.038716309,.25859335,50,.3415325
stay_on_levels_ctrl,muni_share_1940,.5956150513513186,.20039536,.0047346097,50,.3415325
stay_on_levels_ctrl,sum1muni,.0014375438762547,.0041552857,.73098844,50,.3415325
stay_on_levels_ctrl,sum2muni,-.0050810753992235,.0061712908,.41465643,50,.3415325
