zone,age_group,marriage_period,avg_childrenactive,avg_childreninactive,active_minus_inactive
Total Nacional,De 15 a 19 años,1951_1955,,,
Total Nacional,De 20 a 24 años,1951_1955,,,
Total Nacional,De 25 a 29 años,1951_1955,,,
Total Nacional,De 30 a 34 años,1951_1955,,,
Total Nacional,De 35 a 39 años,1951_1955,3.6,5.2,-1.6
Total Nacional,De 40 a 44 años,1951_1955,3.5,4,-.5
Total Nacional,De 45 a 49 años,1951_1955,3.1,3.5,-.40000001
Total Nacional,de 50 y más años,1951_1955,2.6,2.8,-.2
Total Nacional,De 15 a 19 años,1956_1960,,,
Total Nacional,De 20 a 24 años,1956_1960,,,
Total Nacional,De 25 a 29 años,1956_1960,,,
Total Nacional,De 30 a 34 años,1956_1960,3,3.6,-.60000002
Total Nacional,De 35 a 39 años,1956_1960,3.5,3.9,-.40000001
Total Nacional,De 40 a 44 años,1956_1960,3,3.4,-.40000001
Total Nacional,De 45 a 49 años,1956_1960,2.7,3,-.30000001
Total Nacional,de 50 y más años,1956_1960,2.2,2.4,-.2
Total Nacional,De 15 a 19 años,1961_1965,,,
Total Nacional,De 20 a 24 años,1961_1965,,,
Total Nacional,De 25 a 29 años,1961_1965,2.1,2.8,-.69999999
Total Nacional,De 30 a 34 años,1961_1965,3.2,3.5,-.30000001
Total Nacional,De 35 a 39 años,1961_1965,2.9,3.2,-.30000001
Total Nacional,De 40 a 44 años,1961_1965,2.7,2.9,-.2
Total Nacional,De 45 a 49 años,1961_1965,2.4,2.6,-.2
Total Nacional,de 50 y más años,1961_1965,1.6,1.7,-.1
Total Nacional,De 15 a 19 años,1966_1970,,,
Total Nacional,De 20 a 24 años,1966_1970,2.2,2.8,-.60000002
Total Nacional,De 25 a 29 años,1966_1970,2.56,3.2,-.63999999
Total Nacional,De 30 a 34 años,1966_1970,2.46,2.82,-.36000001
Total Nacional,De 35 a 39 años,1966_1970,2.36,2.6,-.23999999
Total Nacional,De 40 a 44 años,1966_1970,2.24,2.42,-.18000001
Total Nacional,De 45 a 49 años,1966_1970,1.78,2,-.22
Total Nacional,de 50 y más años,1966_1970,1.08,1.38,-.30000001
Total Nacional,De 15 a 19 años,1971_1975,1.4,3,-1.6
Total Nacional,De 20 a 24 años,1971_1975,1.94,2.34,-.40000001
Total Nacional,De 25 a 29 años,1971_1975,1.76,2.2,-.44
Total Nacional,De 30 a 34 años,1971_1975,1.74,2.080000000000001,-.34
Total Nacional,De 35 a 39 años,1971_1975,1.78,2.1,-.31999999
Total Nacional,De 40 a 44 años,1971_1975,1.7,2.12,-.41999999
Total Nacional,De 45 a 49 años,1971_1975,1.36,1.74,-.38
Total Nacional,de 50 y más años,1971_1975,1.34,2.32,-.98000002
Total Nacional,De 15 a 19 años,1976_1981,1.016666666666667,1.083333333333333,-.06666667
Total Nacional,De 20 a 24 años,1976_1981,.7000000000000001,.9500000000000002,-.25
Total Nacional,De 25 a 29 años,1976_1981,.6666666666666666,.9166666666666669,-.25
Total Nacional,De 30 a 34 años,1976_1981,.7833333333333333,1.083333333333333,-.30000001
Total Nacional,De 35 a 39 años,1976_1981,.9333333333333335,1.283333333333333,-.34999999
Total Nacional,De 40 a 44 años,1976_1981,1.016666666666667,1.3,-.28333333
Total Nacional,De 45 a 49 años,1976_1981,1.016666666666667,1.266666666666667,-.25
Total Nacional,de 50 y más años,1976_1981,1.2,1.483333333333333,-.28333333
Zona intermedia,De 15 a 19 años,1951_1955,,,
Zona intermedia,De 20 a 24 años,1951_1955,,,
Zona intermedia,De 25 a 29 años,1951_1955,,,
Zona intermedia,De 30 a 34 años,1951_1955,,,
Zona intermedia,De 35 a 39 años,1951_1955,4,4.7,-.69999999
Zona intermedia,De 40 a 44 años,1951_1955,3.8,4.4,-.60000002
Zona intermedia,De 45 a 49 años,1951_1955,3.1,3.7,-.60000002
Zona intermedia,de 50 y más años,1951_1955,2.6,2.9,-.30000001
