series_code,series_label,description,sheet,series_type,units,year,annual_mean
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1964,11887.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1965,12219.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1966,12295.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1967,12372.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1968,12435.5
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1969,12488.5
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1970,12502.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1971,12651.25
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1972,12948.25
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1973,13248.5
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1974,13438.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1975,13315.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1976,13187.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1977,13316.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1978,13318.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1979,13303.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1980,13288.25
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1981,13320.0
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1982,13476.75
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1983,13615.5
1994GG0001,Encuesta de Población Activa. Activos. Total economía,Encuesta de Población Activa. Activos. Total economía,cuadro_01,Posición,Miles,1984,13678.0
