outcome,spec,coefname,b,se,p,N
cfr,pooled_linear_country,cohort_c,-.0451291079812207,.0069135036,3.5782222e-08,57
cfr,pooled_linear_country,spain_cohort,.0275616824120439,.0094876494,.0054966877,57
cfr,pooled_linear_country,spain_treat2,.0430534537053007,.0980625,.66256189,57
cfr,pooled_linear_country,spain_treat3,-.0120108782878269,.18197843,.94764507,57
cfr,pooled_linear_country,treat_2,.2448593114241006,.064586803,.00041167872,57
cfr,pooled_linear_country,treat_3,.2412427230046953,.12623648,.061858855,57
cfr,pooled_no_trend,spain_treat2,.192066666666666,.017735714,7.9516294e-15,57
cfr,pooled_no_trend,spain_treat3,.4263999999999996,.078356743,1.5137473e-06,57
cfr,pooled_no_trend,treat_2,-.0710444444444439,.01420942,7.1555360e-06,57
cfr,pooled_no_trend,treat_3,-.5485166666666662,.065027401,3.0532833e-11,57
cfr,pooled_quadratic_country,cohort_c,-.0038794531024526,.0045546293,.39866635,57
cfr,pooled_quadratic_country,cohort_c2,-.0019238398268398,.00018990364,2.1032595e-13,57
cfr,pooled_quadratic_country,spain_cohort,.0025063023035483,.0055161533,.65166348,57
cfr,pooled_quadratic_country,spain_cohort2,.0006808056967383,.00021878217,.0031596816,57
cfr,pooled_quadratic_country,spain_treat2,.1358292558326831,.047627315,.0064384518,57
cfr,pooled_quadratic_country,spain_treat3,.208025678479475,.077073216,.0096311271,57
cfr,pooled_quadratic_country,treat_2,-.0214434747474779,.029654926,.47320181,57
cfr,pooled_quadratic_country,treat_3,-.0743753939393991,.060384888,.22419247,57
cfr,pt_only_linear,cohort_c,-.0451291079812207,.0069684172,1.6268010e-06,26
cfr,pt_only_linear,treat_2,.2448593114241006,.065099806,.0010776549,26
cfr,pt_only_linear,treat_3,.2412427230046955,.12723917,.071174167,26
cfr,pt_only_no_trend,treat_2,-.0710444444444442,.014290479,.000050064795,26
cfr,pt_only_no_trend,treat_3,-.5485166666666662,.06539835,1.8878927e-08,26
