source,outcome,spec,coefname,b,se,p,N,omitted
HFD,cfr,baseline,spain_treat2,.192066666666666,.017735714,7.9516294e-15,57,0
HFD,cfr,cohort_FE,spain_treat2,.1784666666666607,.023095015,7.7327975e-08,57,0
HFD,cfr,lin_country_trend,spain_treat2,.0430534537053007,.0980625,.66256189,57,0
HFD,cfr,quad_country_trend,spain_treat2,.1358292558326831,.047627315,.0064384518,57,0
HFD,cfr,spainXcohort_FE,spain_treat2,.1779999999999914,0,,57,0
HFD,cfr,baseline,spain_treat3,.4263999999999996,.078356743,1.5137473e-06,57,0
HFD,cfr,cohort_FE,spain_treat3,.4127999999999946,.027251489,1.8625779e-13,57,0
HFD,cfr,lin_country_trend,spain_treat3,-.0120108782878269,.18197843,.94764507,57,0
HFD,cfr,quad_country_trend,spain_treat3,.208025678479475,.077073216,.0096311271,57,0
HFD,cfr,spainXcohort_FE,spain_treat3,.4429999999999908,0,,57,0
IVS,kids,baseline,spain_treat2,.0128252083542612,.0304709,.67682809,4393,0
IVS,kids,nuts2_age_year_FE,spain_treat2,.0166662272577091,.043160919,.69969475,4381,0
IVS,kids,region_FE,spain_treat2,.0123076989849214,.029027652,.67459136,4392,0
IVS,kids,region_FE+cohort_FE,spain_treat2,.0070147955031549,.028466791,.80703521,4392,0
IVS,kids,region_FE+lin_trend,spain_treat2,-.0156452715229083,.034163762,.6502887,4392,0
IVS,kids,region_FE+quad_trend,spain_treat2,-.037077371606777,.044869516,.41513649,4392,0
IVS,kids,spainXcohort_FE,spain_treat2,-.0071993340835408,.014005905,.61100286,4393,0
IVS,kids,baseline,spain_treat3,-.0321096151911886,.024287591,.19614102,4393,0
IVS,kids,nuts2_age_year_FE,spain_treat3,-.0282805072908408,.040085576,.48110303,4381,0
IVS,kids,region_FE,spain_treat3,-.0333295949746267,.024253245,.17954998,4392,0
IVS,kids,region_FE+cohort_FE,spain_treat3,-.0344164841725855,.024927163,.17757744,4392,0
IVS,kids,region_FE+lin_trend,spain_treat3,-.0923963323346343,.044868708,.048240736,4392,0
IVS,kids,region_FE+quad_trend,spain_treat3,-.109821372291939,.054287981,.052070525,4392,0
IVS,kids,spainXcohort_FE,spain_treat3,-.0997423967382104,.012249061,4.3337853e-09,4393,0
IVS,kids,pt_only_nuts2_age_year_FE,treat_2,.163868817807442,.039648004,.000071738948,1190,0
IVS,kids,pt_only_nuts2_age_year_FE,treat_3,.2408856300073786,.056381587,.000042337331,1190,0
IVS,nkids,baseline,spain_treat2,.3397589173980532,.22052026,.13386911,4379,0
IVS,nkids,nuts2_age_year_FE,spain_treat2,.337042463167129,.23803101,.15793541,4368,0
IVS,nkids,region_FE,spain_treat2,.3170825737165365,.21977127,.15944181,4378,0
IVS,nkids,region_FE+cohort_FE,spain_treat2,.2738631741692535,.22265604,.22826202,4378,0
IVS,nkids,region_FE+lin_trend,spain_treat2,.3761288287541664,.28114125,.19099455,4378,0
IVS,nkids,region_FE+quad_trend,spain_treat2,.2438067817649582,.34773642,.48862806,4378,0
IVS,nkids,spainXcohort_FE,spain_treat2,.1832434505617349,.083051495,.03515432,4379,0
IVS,nkids,baseline,spain_treat3,.0976799665438161,.17134418,.57286811,4379,0
IVS,nkids,nuts2_age_year_FE,spain_treat3,-.0131689977647246,.22553997,.95348203,4368,0
IVS,nkids,region_FE,spain_treat3,.070020432933058,.17667651,.69467396,4378,0
IVS,nkids,region_FE+cohort_FE,spain_treat3,.052518250117485,.18048488,.77306575,4378,0
IVS,nkids,region_FE+lin_trend,spain_treat3,.2012124721788317,.43888906,.64992696,4378,0
IVS,nkids,region_FE+quad_trend,spain_treat3,.1043126795207236,.46512216,.82406807,4378,0
IVS,nkids,spainXcohort_FE,spain_treat3,-.5772510951030848,.067562453,1.5610027e-09,4379,0
IVS,nkids,pt_only_nuts2_age_year_FE,treat_2,.4451242663237816,.19514576,.024549017,1185,0
IVS,nkids,pt_only_nuts2_age_year_FE,treat_3,.7479597019743158,.21097064,.00058507913,1185,0
