outcome,spec,coefname,b,se,p,N
construction_share,break_1973_annual,post73,-.0014206442981958,.002447247,.57079923,18
construction_share,break_1973_annual,post73_trend,-.0023201691607634,.00057912566,.0012998128,18
construction_share,break_1973_annual,trend,.0018138824651639,.00033902656,.00010240489,18
industry_share,break_1973_annual,post73,.0107250490122371,.0043091159,.026017373,18
industry_share,break_1973_annual,post73_trend,-.0004843359192212,.00099181419,.63287365,18
industry_share,break_1973_annual,trend,.0020014847318331,.00046498343,.00072729617,18
public_admin_share_wage,break_1973_annual,post73,-.0003296546224091,.0040469626,.93623137,18
public_admin_share_wage,break_1973_annual,post73_trend,.0070320387681325,.00086256192,1.0984594e-06,18
public_admin_share_wage,break_1973_annual,trend,-.0006721949825684,.00052376819,.22019543,18
services_share,break_1973_annual,post73,.0064979728725222,.0052512432,.23628576,18
services_share,break_1973_annual,post73_trend,.0003659754991531,.0010153482,.72389579,18
services_share,break_1973_annual,trend,.0080281386772792,.00083115289,1.4330979e-07,18
unemployment_share,break_1973_annual,post73,-.0046322721936223,.0089846337,.61419481,18
unemployment_share,break_1973_annual,post73_trend,.0141386880384137,.0020569856,7.6409224e-06,18
unemployment_share,break_1973_annual,trend,-.0001249332446605,.00067594316,.85601467,18
