id,year,codprov,type,alive,female1544_step,female1544_lin,births_per_female1544_lin,births_per_female1544_step
2,1930,1,municipality,1030,10095,10095,102.03071,102.03071
2,1931,1,municipality,1096,10095,10368.1,105.70886,108.5686
2,1932,1,municipality,1020,10095,10641.2,95.853851,101.04012
2,1933,1,municipality,936,10095,10914.3,85.759048,92.71917
2,1934,1,municipality,873,10095,11187.4,78.034218,86.478455
2,1935,1,municipality,777,10095,11460.5,67.798088,76.968796
2,1936,1,municipality,743,10095,11733.6,63.322426,73.600792
2,1937,1,municipality,692,10095,12006.7,57.634487,68.54879
2,1938,1,municipality,645,10095,12279.8,52.525288,63.893017
2,1939,1,municipality,646,10095,12552.9,51.462212,63.992077
2,1940,1,municipality,745,12826,12826,58.08514,58.08514
2,1941,1,municipality,745,12826,13004.8,57.286541,58.08514
2,1942,1,municipality,684,12826,13183.6,51.882645,53.329174
2,1943,1,municipality,776,12826,13362.4,58.073399,60.502106
2,1944,1,municipality,818,12826,13541.2,60.408234,63.776703
2,1945,1,municipality,918,12826,13720,66.909622,71.573364
2,1946,1,municipality,947,12826,13898.8,68.135376,73.834396
2,1947,1,municipality,977,12826,14077.6,69.401039,76.173401
2,1948,1,municipality,1054,12826,14256.4,73.931709,82.176826
2,1949,1,municipality,1044,12826,14435.2,72.323212,81.397163
2,1950,1,municipality,953,14614,14614,65.211441,65.211441
2,1951,1,municipality,1022,14614,14907.5,68.556099,69.932938
2,1952,1,municipality,1129,14614,15201,74.271431,77.254684
2,1953,1,municipality,1091,14614,15494.5,70.412079,74.654442
2,1954,1,municipality,1171,14614,15788,74.170258,80.128647
2,1955,1,municipality,1247,14614,16081.5,77.542519,85.32914
2,1956,1,municipality,1413,14614,16375,86.290077,96.68811
2,1957,1,municipality,1614,14614,16668.5,96.829346,110.44204
2,1958,1,municipality,1709,14614,16962,100.75463,116.94266
2,1959,1,municipality,1894,14614,17255.5,109.76211,129.60175
2,1960,1,municipality,1948,17549,17549,111.00348,111.00348
2,1961,1,municipality,2111,17549,18777.5,112.42178,120.29176
2,1962,1,municipality,2291,17549,20006,114.51565,130.54875
2,1963,1,municipality,2524,17549,21234.5,118.86317,143.82585
2,1964,1,municipality,2778,17549,22463,123.67004,158.29962
2,1965,1,municipality,3104,17549,23691.5,131.01746,176.87617
2,1966,1,municipality,3248,17549,24920,130.33708,185.08177
2,1967,1,municipality,3369,17549,26148.5,128.84105,191.97675
2,1968,1,municipality,3496,17549,27377,127.69843,199.21362
2,1969,1,municipality,3670,17549,28605.5,128.29701,209.12872
2,1970,1,municipality,3856,29834,29834,129.2485,129.2485
2,1971,1,municipality,4084,29834,29834,136.89079,136.89079
2,1972,1,municipality,4211,29834,29834,141.14769,141.14769
2,1973,1,municipality,4314,29834,29834,144.60013,144.60013
