sample,outcome,spec,coefname,b,se,p,N
female,kids,baseline,treat_2,-.0063790103193607,.018789999,.73481989,3944
female,kids,baseline,treat_3,.0024988975985392,.024503006,.91893601,3944
female,kids,donut_3641,law56_share_20_35,.0117558742532938,.13825759,.93241024,2948
female,kids,donut_3641,treat_2,-.0092320189432615,.037879996,.80795395,2948
female,kids,donut_3641,treat_3,.2443565318647905,.11998826,.04436985,2948
female,kids,law56_1830,law56_share_18_30,-.0250020999225356,.053676564,.64234805,3322
female,kids,law56_1830,treat_2,.0011172923252636,.019703366,.95488954,3322
female,kids,law56_1830,treat_3,.0185385641603549,.030834232,.54900557,3322
female,kids,law56_2035,law56_share_20_35,.0376230914898728,.06510739,.56441361,3944
female,kids,law56_2035,treat_2,-.0155096799884695,.02420626,.52288997,3944
female,kids,law56_2035,treat_3,-.0170975949876865,.041034117,.67764765,3944
female,kids,law56_2035_73,crisis73_share_25_35,-.0301442055432618,.02743868,.27408722,3944
female,kids,law56_2035_73,law56_share_20_35,.0457856550484947,.065509968,.48592696,3944
female,kids,law56_2035_73,treat_2,-.0174906355281526,.024255166,.47221041,3944
female,kids,law56_2035_73,treat_3,-.0138989949490009,.040666874,.73310208,3944
female,kids,partner,law56_share_20_35,.0664021673077717,.069833018,.34416139,2617
female,kids,partner,treat_2,.0059024692378526,.024390165,.80931723,2617
female,kids,partner,treat_3,.0178136144199108,.036838032,.62984294,2617
female,kids,partner,year_partner,.0007072772696577,.0012629413,.57682425,2617
female,nkids,baseline,treat_2,-.1766522781031262,.13072842,.1790821,3940
female,nkids,baseline,treat_3,-.3437692434410501,.14898007,.022699028,3940
female,nkids,donut_3641,law56_share_20_35,-.6402002341991435,.67486537,.34511676,2945
female,nkids,donut_3641,treat_2,-.0212834174093675,.19573516,.91363215,2945
female,nkids,donut_3641,treat_3,1.095133801159504,.51203871,.034914181,2945
female,nkids,law56_1830,law56_share_18_30,-.1647850878037217,.28591201,.56563669,3319
female,nkids,law56_1830,treat_2,-.118065326330435,.122381,.3369368,3319
female,nkids,law56_1830,treat_3,-.2288502531279122,.1661582,.17140418,3319
female,nkids,law56_2035,law56_share_20_35,.0379842558320369,.34431809,.91233748,3940
female,nkids,law56_2035,treat_2,-.1858705979937872,.15039693,.21886308,3940
female,nkids,law56_2035,treat_3,-.3635583566942309,.2156518,.094358273,3940
female,nkids,law56_2035_73,crisis73_share_25_35,-.4079403818356691,.22116734,.067518122,3940
female,nkids,law56_2035_73,law56_share_20_35,.1485313445480005,.35915208,.67991567,3940
female,nkids,law56_2035_73,treat_2,-.2126990405798732,.15291947,.16676022,3940
female,nkids,law56_2035_73,treat_3,-.3203318072000942,.22023508,.14835501,3940
female,nkids,partner,law56_share_20_35,.7761463921948295,.45077947,.088468775,2617
female,nkids,partner,treat_2,-.110431961337357,.17750017,.53538126,2617
female,nkids,partner,treat_3,-.334493395921415,.25531024,.19340856,2617
female,nkids,partner,year_partner,-.0279199881990297,.0095571876,.0043840185,2617
