sample,outcome,spec,coefname,b,se,p,N
census,kids2,baseline,treat_2,-.0051132570959051,.0081579722,.53314203,1140203
census,kids2,baseline,treat_3,-.0057411111646364,.0093786819,.5427171,1140203
census,kids2,birth_current_fe,treat_2,-.0086264649305096,.011043341,.43773761,872272
census,kids2,birth_current_fe,treat_3,-.0088598208187069,.012764183,.49024469,872272
census,kids2,birthprov_fe,treat_2,-.0084515950543569,.011075675,.44835845,865255
census,kids2,birthprov_fe,treat_3,-.0092838497420874,.012906292,.47468606,865255
census,kids2,movers,treat_2,-.0086829876996478,.011089978,.43668094,353768
census,kids2,movers,treat_3,-.00851014162766,.012834308,.50977886,353768
census,kids2,stayers,treat_2,-.0078218373863409,.010825776,.47273603,518351
census,kids2,stayers,treat_3,-.008888805551609,.012474378,.4788318,518351
census,nhijos,baseline,treat_2,-.0353707886838579,.012098945,.0048515555,1140203
census,nhijos,baseline,treat_3,-.0777337006570098,.017159915,.00002801534,1140203
census,nhijos,birth_current_fe,treat_2,-.0689991173042184,.026111046,.010442051,872272
census,nhijos,birth_current_fe,treat_3,-.1434792529238723,.032348674,.000039086968,872272
census,nhijos,birthprov_fe,treat_2,-.0745769597422311,.023748841,.0026026114,865255
census,nhijos,birthprov_fe,treat_3,-.1517958168698474,.030275101,4.8807224e-06,865255
census,nhijos,movers,treat_2,-.0645075329373891,.033902086,.06179459,353768
census,nhijos,movers,treat_3,-.161513726550372,.042935796,.00038084626,353768
census,nhijos,stayers,treat_2,-.0780250074199812,.020909796,.00041998536,518351
census,nhijos,stayers,treat_3,-.1174467188472804,.02514185,.000016933825,518351
