sample,outcome,spec,coefname,b,se,p,N
ES,C001,belief,treat_2,.0487684366483572,.049401354,.32460606,2539
ES,C001,belief,treat_3,.0973231202417154,.076570645,.20502679,2539
ES,D019,belief,treat_2,-.0393182063600188,.037523106,.2960794,2506
ES,D019,belief,treat_3,-.041423134198333,.053643305,.44098383,2506
ES,D057,belief,treat_2,.0406796749796058,.07141304,.56952548,2297
ES,D057,belief,treat_3,.096025980059632,.10557173,.36407676,2297
ES,D058,belief,treat_2,.0539957476606232,.058035191,.35362193,1900
ES,D058,belief,treat_3,-.0075029503085228,.073755823,.91910577,1900
ES,D061,belief,treat_2,.0418769081579915,.092090197,.65003914,1737
ES,D061,belief,treat_3,.2941537639144329,.13827054,.035234217,1737
ES,D062,belief,treat_2,.1797230049582441,.072702266,.015025296,1569
ES,D062,belief,treat_3,.1975290094497494,.12339959,.11241374,1569
ES,F120,belief,treat_2,.0396995996168178,.18947086,.83420146,3037
ES,F120,belief,treat_3,.1007803292537389,.27802601,.71728736,3037
ESPT,kids,pooled_diff,spain_treat2,.0166662272577091,.043160919,.69969475,4381
ESPT,kids,pooled_diff,spain_treat3,-.0282805072908408,.040085576,.48110303,4381
ESPT,kids,pooled_diff,treat_2,.0481565716645184,.046339087,.29962805,4381
ESPT,kids,pooled_diff,treat_3,.0747910682171253,.048158377,.12158468,4381
PT,kids,pt_only,treat_2,.163868817807442,.039648004,.000071738948,1190
PT,kids,pt_only,treat_3,.2408856300073786,.056381587,.000042337331,1190
ESPT,nkids,pooled_diff,spain_treat2,.337042463167129,.23803101,.15793541,4368
ESPT,nkids,pooled_diff,spain_treat3,-.0131689977647246,.22553997,.95348203,4368
ESPT,nkids,pooled_diff,treat_2,-.2426592285192447,.2486679,.33001572,4368
ESPT,nkids,pooled_diff,treat_3,-.0844887421884587,.2480707,.73368114,4368
PT,nkids,pt_only,treat_2,.4451242663237816,.19514576,.024549017,1185
PT,nkids,pt_only,treat_3,.7479597019743158,.21097064,.00058507913,1185
