sample,outcome,spec,coefname,b,se,p,N,p_z
ES,C001,belief,treat_2,0.002530091066908,0.042208165,0.62463301,2551,0.9522008997029026
ES,C001,belief,treat_3,0.0115554491485426,0.059910681,0.62463301,2551,0.8470545565522067
ES,D019,belief,treat_2,0.0744973239747156,0.035925496,0.62463301,2518,0.038110743532339786
ES,D019,belief,treat_3,0.0144399545022173,0.076235257,0.62463301,2518,0.849769077070027
ES,D057,belief,treat_2,0.0318910813777202,0.066900209,0.62463301,2307,0.6335784056613105
ES,D057,belief,treat_3,0.1212258008915648,0.089729466,0.62463301,2307,0.17669081914260243
ES,D058,belief,treat_2,0.0253681612452239,0.05648531,0.62463301,1913,0.6533517493099286
ES,D058,belief,treat_3,0.0659404976014002,0.094632261,0.62463301,1913,0.4859230840321016
ES,D061,belief,treat_2,0.0229940558296442,0.086019933,0.62463301,1749,0.7892298834598892
ES,D061,belief,treat_3,0.2409834270166887,0.15962492,0.62463301,1749,0.1311236931439721
ES,D062,belief,treat_2,0.0388242132338892,0.073496759,0.62463301,1580,0.5973300763328488
ES,D062,belief,treat_3,0.0567220039631513,0.15551291,0.62463301,1580,0.7153044159521913
ES,F120,belief,treat_2,-0.252857466920189,0.15863141,0.62463301,3047,0.11093744772479486
ES,F120,belief,treat_3,-0.152063475355136,0.22919199,0.62463301,3047,0.5070254923486657
ESPT,kids,pooled_diff,spain_treat2,0.0219684541785352,0.03060323,0.62463301,4391,0.47285128078875305
ESPT,kids,pooled_diff,spain_treat3,-0.0107808675008823,0.029539568,0.62463301,4391,0.7151385671829831
ESPT,kids,pooled_diff,treat_2,0.0402667149355271,0.035537269,0.62463301,4391,0.2571789321715432
ESPT,kids,pooled_diff,treat_3,0.0574239192724629,0.037809201,0.62463301,4391,0.1288174756621543
PT,kids,pt_only,treat_2,0.1550791122327251,0.033244342,0.62463301,1190,3.088764232606067e-06
PT,kids,pt_only,treat_3,0.2322656350705221,0.045763776,0.62463301,1190,3.868520821459498e-07
ESPT,nkids,pooled_diff,spain_treat2,0.3212203344474714,0.24487691,0.62463301,4377,0.18960029956385327
ESPT,nkids,pooled_diff,spain_treat3,0.0823820703263623,0.21726534,0.62463301,4377,0.7045562573115167
ESPT,nkids,pooled_diff,treat_2,-0.2447202619824406,0.22233854,0.62463301,4377,0.27104245929692206
ESPT,nkids,pooled_diff,treat_3,-0.1740564004781298,0.24952726,0.62463301,4377,0.48546201874224826
PT,nkids,pt_only,treat_2,0.4526023310052871,0.19555353,0.62463301,1185,0.02064208042212967
PT,nkids,pt_only,treat_3,0.7552933810314906,0.17639205,0.62463301,1185,1.8530302126062992e-05
