sample,outcome,spec,coefname,b,se,p,N
census,kids2,birth_current_fe_proxy,treat_2,-.0082599202661069,.010994798,.45538652,799387
census,kids2,birth_current_fe_proxy,treat_3,-.0087396219550113,.012628849,.4915404,799387
census,kids2,birth_current_industrial_core_share_1950,indcore_t2,.0026156135458721,.0015150546,.089334533,799387
census,kids2,birth_current_industrial_core_share_1950,indcore_t3,.0052958628681346,.0017437612,.0035123799,799387
census,kids2,birth_current_industrial_core_share_1950,treat_2,-.0079637941535859,.011119905,.47661635,799387
census,kids2,birth_current_industrial_core_share_1950,treat_3,-.0080050498627208,.012799852,.53404021,799387
census,kids2,birth_current_manuf_trade_share_1950,manuftr_t2,.0025982194259363,.00135036,.059011567,799387
census,kids2,birth_current_manuf_trade_share_1950,manuftr_t3,.0052444124978214,.0015561905,.0013079057,799387
census,kids2,birth_current_manuf_trade_share_1950,treat_2,-.0079616325064304,.011103636,.47609264,799387
census,kids2,birth_current_manuf_trade_share_1950,treat_3,-.0080121591003013,.012778313,.53299105,799387
census,kids2,birth_current_nonag_share_1950,nonag_t2,.0030842179005466,.0018898812,.10783947,799387
census,kids2,birth_current_nonag_share_1950,nonag_t3,.0048572297051012,.0023118467,.039779194,799387
census,kids2,birth_current_nonag_share_1950,treat_2,-.0078395887444635,.011219155,.48735261,799387
census,kids2,birth_current_nonag_share_1950,treat_3,-.0080189669051316,.012922697,.53721815,799387
census,kids2,birth_current_oil_sensitive_share_1950,oilsens_t2,.0027818722161694,.0015597929,.079481594,799387
census,kids2,birth_current_oil_sensitive_share_1950,oilsens_t3,.0051998601870156,.0018140024,.0056886468,799387
census,kids2,birth_current_oil_sensitive_share_1950,treat_2,-.0079207313620693,.011139582,.47976717,799387
census,kids2,birth_current_oil_sensitive_share_1950,treat_3,-.007990758347472,.012823734,.53552687,799387
census,kids2,birthprov_fe_proxy,treat_2,-.0077031402156438,.01110963,.490706,792962
census,kids2,birthprov_fe_proxy,treat_3,-.008662084812662,.012864365,.50327462,792962
census,kids2,birthprov_industrial_core_share_1950,indcore_t2,.0040796627323519,.0014189985,.0055554877,792962
census,kids2,birthprov_industrial_core_share_1950,indcore_t3,.0067400091776134,.001719855,.00022758108,792962
census,kids2,birthprov_industrial_core_share_1950,treat_2,-.0072548596527841,.011195077,.51939082,792962
census,kids2,birthprov_industrial_core_share_1950,treat_3,-.0077781297168744,.013010511,.5521636,792962
census,kids2,birthprov_manuf_trade_share_1950,manuftr_t2,.0040866873837525,.0013228126,.0030190421,792962
census,kids2,birthprov_manuf_trade_share_1950,manuftr_t3,.0067286768916104,.0016118697,.0000964098,792962
census,kids2,birthprov_manuf_trade_share_1950,treat_2,-.0072438026420512,.011191013,.51987451,792962
census,kids2,birthprov_manuf_trade_share_1950,treat_3,-.0077725681507433,.013004013,.55224913,792962
census,kids2,birthprov_nonag_share_1950,nonag_t2,.0041458629899461,.0017686968,.022350719,792962
census,kids2,birthprov_nonag_share_1950,nonag_t3,.005731044764582,.0022238973,.012399585,792962
census,kids2,birthprov_nonag_share_1950,treat_2,-.0071464775348115,.011305834,.52968019,792962
census,kids2,birthprov_nonag_share_1950,treat_3,-.0078364775382694,.013140043,.55312729,792962
census,kids2,birthprov_oil_sensitive_share_1950,oilsens_t2,.0041079550628285,.0014530751,.0063444735,792962
census,kids2,birthprov_oil_sensitive_share_1950,oilsens_t3,.006403175087516,.0017825483,.00065560511,792962
census,kids2,birthprov_oil_sensitive_share_1950,treat_2,-.0072142824291172,.011216966,.52253199,792962
census,kids2,birthprov_oil_sensitive_share_1950,treat_3,-.0077836788279135,.013038361,.55272824,792962
census,nhijos,birth_current_fe_proxy,treat_2,-.0776795124198992,.028066289,.0074639926,799387
census,nhijos,birth_current_fe_proxy,treat_3,-.1583136098059472,.034936409,.000027864993,799387
census,nhijos,birth_current_industrial_core_share_1950,indcore_t2,.052377391336211,.017527046,.0040373108,799387
census,nhijos,birth_current_industrial_core_share_1950,indcore_t3,.0827046833036925,.021835878,.00035023203,799387
census,nhijos,birth_current_industrial_core_share_1950,treat_2,-.0717496175755679,.028471695,.014367808,799387
census,nhijos,birth_current_industrial_core_share_1950,treat_3,-.1474226543878691,.034917973,.000081946258,799387
census,nhijos,birth_current_manuf_trade_share_1950,manuftr_t2,.0571835870211947,.017651398,.0019394075,799387
census,nhijos,birth_current_manuf_trade_share_1950,manuftr_t3,.0903312478840154,.022353249,.00015144351,799387
census,nhijos,birth_current_manuf_trade_share_1950,treat_2,-.0711145687925204,.028516561,.015365325,799387
census,nhijos,birth_current_manuf_trade_share_1950,treat_3,-.1463725843453547,.034982126,.000093251881,799387
census,nhijos,birth_current_nonag_share_1950,nonag_t2,.0700402378442877,.020722704,.0012691265,799387
census,nhijos,birth_current_nonag_share_1950,nonag_t3,.0911998614558374,.024102446,.00035449053,799387
census,nhijos,birth_current_nonag_share_1950,treat_2,-.0681341039245473,.029374558,.023732221,799387
census,nhijos,birth_current_nonag_share_1950,treat_3,-.1451840555069051,.036106981,.00016203086,799387
census,nhijos,birth_current_oil_sensitive_share_1950,oilsens_t2,.0577710479827763,.018684393,.0029967634,799387
census,nhijos,birth_current_oil_sensitive_share_1950,oilsens_t3,.0891557757344625,.02300781,.00026307476,799387
census,nhijos,birth_current_oil_sensitive_share_1950,treat_2,-.0706355877074092,.02869729,.0166831,799387
census,nhijos,birth_current_oil_sensitive_share_1950,treat_3,-.1459522355481261,.035207991,.00010642882,799387
census,nhijos,birthprov_fe_proxy,treat_2,-.0832548853564957,.026226019,.0023529069,792962
census,nhijos,birthprov_fe_proxy,treat_3,-.167758378174468,.033415869,4.7664694e-06,792962
census,nhijos,birthprov_industrial_core_share_1950,indcore_t2,.0534550397555806,.01749731,.0033347819,792962
census,nhijos,birthprov_industrial_core_share_1950,indcore_t3,.0829527080749437,.023005461,.00062789937,792962
census,nhijos,birthprov_industrial_core_share_1950,treat_2,-.0773811509619066,.026401496,.0047505489,792962
census,nhijos,birthprov_industrial_core_share_1950,treat_3,-.1570539260023527,.033226252,.000013877147,792962
census,nhijos,birthprov_manuf_trade_share_1950,manuftr_t2,.0589602036895856,.017723734,.0014926014,792962
census,nhijos,birthprov_manuf_trade_share_1950,manuftr_t3,.0917023882813548,.023351584,.00022156548,792962
census,nhijos,birthprov_manuf_trade_share_1950,treat_2,-.0766278463006379,.026453614,.0052297674,792962
census,nhijos,birthprov_manuf_trade_share_1950,treat_3,-.1558001282733114,.033293035,.000016437683,792962
census,nhijos,birthprov_nonag_share_1950,nonag_t2,.0699165330629849,.019796204,.00079276884,792962
census,nhijos,birthprov_nonag_share_1950,nonag_t3,.0898600153466007,.023861544,.0003757654,792962
census,nhijos,birthprov_nonag_share_1950,treat_2,-.0738672319719504,.027174018,.0085313683,792962
census,nhijos,birthprov_nonag_share_1950,treat_3,-.154987080199267,.03418937,.000027696349,792962
census,nhijos,birthprov_oil_sensitive_share_1950,oilsens_t2,.0581680013220211,.018432178,.0024864103,792962
census,nhijos,birthprov_oil_sensitive_share_1950,oilsens_t3,.0883744278407145,.023940317,.00047777718,792962
census,nhijos,birthprov_oil_sensitive_share_1950,treat_2,-.0763327355428008,.026607657,.0056521855,792962
census,nhijos,birthprov_oil_sensitive_share_1950,treat_3,-.1557095481739206,.033478796,.000018214798,792962
