sample,outcome,spec,coefname,b,se,p,N
IT,kids,it_only,treat_2,.1229091803559188,.063579857,.055017613,1928
IT,kids,it_only,treat_3,.0816991341650729,.070608653,.24900128,1928
ESIT,kids,pooled_diff,spain_treat2,-.0082591273483633,.033438273,.80506855,5119
ESIT,kids,pooled_diff,spain_treat3,.0286727088035374,.032893389,.38402915,5119
ESIT,kids,pooled_diff,treat_2,.0690361177413341,.032301143,.033329427,5119
ESIT,kids,pooled_diff,treat_3,.010037407234377,.036195438,.78171897,5119
IT,nkids,it_only,treat_2,.0300599895670269,.17704013,.86539233,1909
IT,nkids,it_only,treat_3,-.3133194890177187,.23241907,.17957446,1909
ESIT,nkids,pooled_diff,spain_treat2,.1511338310740709,.16022761,.34626296,5092
ESIT,nkids,pooled_diff,spain_treat3,.1946632904942843,.15993722,.22444864,5092
ESIT,nkids,pooled_diff,treat_2,-.138749271298181,.16739655,.40779433,5092
ESIT,nkids,pooled_diff,treat_3,-.434307044452975,.20163508,.031987734,5092
